	G1-11	G1-110	G1-115	G1-116	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-157	G1-158	G1-159	G1-161	G1-162	G1-177	G1-178	G1-19	G1-193	G2-194	G2-41	G2-410	G2-411	G2-412	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-42	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46	G3-47	G3-48	G3-49
G1-19	0.11087456605176677	0.062025773762117466	0.14980573233968056	0.05861348317807602	0.0480083313831045	0.20222808271379117	0.2785150086971825	0.09921393820670923	0.28424716038925885	0.12831649285154317	0.0528691970245154	0.11993475528781145	0.02948124437261094	0.10729430954234408	0.020277800299410228	0.12795870905517637	0.07947563365262633	0.06173095313915191	0.05778798423529911	0.18293756727527896	0.12468461988390414	0.0	0.023297447147953232	0.08404122402653963	0.07492167678594816	0.12494939411781028	0.09270605826019658	0.1069687506187753	0.01736123140977642	0.14415238429261312	0.1002813824356227	0.11393702733859727	0.1513822330501198	0.10160631221972309	0.02247534248596254	0.07938759066482803	0.13342719132623046	0.10007987308656521	0.1430774633320274	0.10559925934352725	0.038374021323966306	0.138727539901794	0.11317546077940761	0.14604087113430114	0.12779826908996827	0.19692567539646177	0.08625380627718673	0.14443154314694218	0.07717188380949865	0.16161508733237942	0.14020155193150452	0.13457976597369425	0.12954331167764083	0.17482220070604662
G1-193	0.11366234131707212	0.07397158268344221	0.15548823025014413	0.06315677408831048	0.026428486480900015	0.20543405297305392	0.26928877860175016	0.1026180604143166	0.275109781007224	0.1198597737603711	0.05508842089009586	0.12534982462029914	0.044402505314749575	0.1117287343855169	0.005497270806495778	0.13796966995467594	0.08940359728228398	0.04289930292581159	0.03970252025023537	0.18873080551484075	0.12962637610499028	0.023297447147953232	0.0	0.08599002333243093	0.083026320117411	0.13670185117641506	0.10252372758137096	0.11777300708873939	0.015948171100372055	0.15158079014384576	0.10352530190088798	0.11857589140048293	0.15513746567931833	0.10696364174661778	0.04097238817761745	0.08534171164404292	0.13948201283999853	0.10943815524721534	0.14874563232175658	0.11353748301422781	0.05717741208516135	0.1415407366334036	0.11503226768375782	0.14990153514661708	0.13210678471510542	0.20058566030126387	0.0957286719092534	0.14893180971232045	0.08363697776745549	0.16992188635306466	0.14626122240023556	0.14189682279130725	0.1396864727025052	0.179962033735176
G2-194	0.0345176096987981	0.024582386055905146	0.07352943101339672	0.03686447252821963	0.11189936563727867	0.12155707830935684	0.2760963822422089	0.16553954853934663	0.2819173846476826	0.16252670068964134	0.06042241304946187	0.15690121231584694	0.0747598309515063	0.07380520205915804	0.08836468280582202	0.0565684970467195	0.010139862772564201	0.12645979522448297	0.1248227621631767	0.10615226615661943	0.0486637028951216	0.08404122402653963	0.08599002333243093	0.0	0.011414641090496157	0.05523796210814151	0.021016872295437857	0.03612293107727453	0.09678739905334374	0.07010683682488919	0.11845621966623336	0.1421184924055169	0.07311272509582543	0.0376162848035809	0.067841408471692	0.007310551951747502	0.05807710179530486	0.02531094339215063	0.06734072127706288	0.03130938006106751	0.05870570736624995	0.05672014078786469	0.031173177573746155	0.0680959030198604	0.050534734944735926	0.118044716686085	0.014378201710824667	0.06727742864899819	0.008754811020793661	0.08523878412641867	0.06479849317572349	0.06049564747440516	0.05829845663675903	0.14505846017291107
G2-41	0.0392057740652569	0.01419960930757779	0.07791915356204791	0.030641459144532042	0.10773170241979668	0.12917709777326558	0.28033738684814985	0.16091692870236757	0.28606953854022626	0.1580710763292697	0.058537751497951575	0.15199982304242143	0.06987493647858775	0.07357986008491225	0.07975856781654986	0.05623003204128198	0.007471358646528071	0.12098273292707451	0.11714828596278433	0.11075286436543423	0.05112855854982878	0.07492167678594816	0.083026320117411	0.011414641090496157	0.0	0.05668679596571215	0.02237562529404226	0.03760445879849276	0.08894741468641663	0.07150655818688485	0.11899603322360239	0.13900389722073345	0.07837599490114658	0.03350523883752679	0.06010128305378401	0.005829735992159723	0.060837175605461744	0.029971319909018794	0.07064372747011463	0.03378758907236526	0.04942006001526423	0.06611479253073628	0.04010109136153893	0.07384080977564993	0.05528080664734088	0.12435737985091971	0.013943023435732725	0.07218701748192409	0.003543296977237465	0.08908462252315359	0.06711221739569871	0.06213468392567058	0.05929624082237316	0.14943203020217813
G2-410	0.060154414791806526	0.06523564335421644	0.029839018162888167	0.074202257825962	0.16118186698993056	0.12848448830206327	0.295320968027729	0.21014050184246563	0.30104450876280087	0.18904740143679263	0.11205669612238353	0.2004141156700355	0.11866743928457857	0.10665945869231448	0.13350148137026094	0.020052714810421705	0.0509246065899906	0.17241721331630583	0.16748782822028135	0.07594862830730555	0.01695272740248477	0.12494939411781028	0.13670185117641506	0.05523796210814151	0.05668679596571215	0.0	0.034311171393714576	0.019421957906134626	0.13558731133208388	0.03404932404918908	0.1518918788319481	0.17326424530254703	0.046625370824114575	0.06605150444139621	0.10812809650725437	0.05415985309480306	0.023982018909384378	0.04800946955046587	0.03400789858061371	0.06638610140923588	0.09696426691977662	0.03888426992064634	0.04176564502143561	0.03753057815683779	0.01928483520169452	0.08787408712218732	0.043990639897797994	0.03579845015878945	0.05520560016068159	0.05435721445829874	0.03266935227535381	0.013634826390754804	0.007196392473769856	0.15671758046471324
G2-411	0.047691059031785665	0.032443996295942475	0.05931804488342273	0.04002413350887316	0.1270484901864389	0.12241801620708061	0.2891899128414759	0.17818542539787346	0.2949134535765478	0.17057953636222825	0.07849933125069572	0.16926832004463666	0.08706163205379866	0.08792327484214583	0.09996318288332591	0.04912803883805292	0.016656401810101695	0.13823908899921694	0.1333097039031925	0.10498956403450711	0.045192898876371915	0.09270605826019658	0.10252372758137096	0.021016872295437857	0.02237562529404226	0.034311171393714576	0.0	0.015336445690925285	0.10494768896200454	0.06353499108353843	0.13331763030715246	0.15464723036433578	0.07146260740008607	0.0473239282761563	0.07675856764613807	0.01993639543234516	0.05297522047564143	0.028761566557776893	0.06260659529892187	0.038667165834479884	0.0664225435379096	0.05877059429203074	0.033037375400828635	0.06605005798928842	0.047703996110161954	0.11710077013290039	0.00972243544378766	0.06434113318623821	0.020963156940185603	0.08355574615905134	0.06105740291950147	0.04338755324002007	0.037649582535920205	0.15036279132069794
G2-412	0.050664518213071455	0.04688132318475005	0.045121149241049076	0.0552734131120883	0.14229776969380734	0.1249357215707171	0.2916860911895983	0.19245115302848456	0.2974096319374499	0.17872284613571396	0.09377013811862593	0.18322737322054214	0.10102068519775519	0.09608910483037293	0.11523498260543594	0.03588604983449883	0.031928201532211715	0.153488368602432	0.14855898350640762	0.09174757459005842	0.032406663402927166	0.1069687506187753	0.11777300708873939	0.03612293107727453	0.03760445879849276	0.019421957906134626	0.015336445690925285	0.0	0.11890674210596122	0.05028588485454531	0.14146094008063814	0.16281306035256304	0.05819809774089584	0.055833544382432446	0.09071762079009475	0.03520819515445517	0.04001738592930376	0.031111052932512942	0.04954227644267689	0.05091951302315853	0.08038159668186626	0.04591924332077607	0.0328371689657769	0.05300703536243705	0.034917759045662904	0.10383626047371017	0.024994235165897688	0.05143137430307733	0.03623495666229562	0.07031375715549723	0.048207276764265686	0.029431161289706173	0.023313350714417508	0.15285896970715912
G2-413	0.12317490088739505	0.07525757471244734	0.16288707851706638	0.0712301031612544	0.040233832500240874	0.21337684826437595	0.2797843614599181	0.10145933350039753	0.2855627224491827	0.1250962542583786	0.0650371060525946	0.12050497943132235	0.041189409687810236	0.11930906524896395	0.012702789133355999	0.14130755534831754	0.09346162964856504	0.054298449515694375	0.04984275366172514	0.19720347000814065	0.13820756785092378	0.01736123140977642	0.015948171100372055	0.09678739905334374	0.08894741468641663	0.13558731133208388	0.10494768896200454	0.11890674210596122	0.0	0.15542934167128497	0.11183835598263263	0.12670792185653873	0.16316136961390917	0.11300600174450913	0.030825798982437737	0.0931927246481871	0.14506945391836795	0.11306131888828666	0.15517265942248265	0.11765335524056304	0.04835268786743833	0.15113098480214443	0.1254364171795917	0.15834583882872752	0.14007013764993378	0.2087048886531758	0.10054597153626817	0.15658375276677317	0.09072050034730245	0.17551064062022048	0.15384389619362884	0.14805853963143348	0.14092465106611365	0.18770294851776187
G2-414	0.07446883881548115	0.0839720212481191	0.016141367970568133	0.09968269682425451	0.17646918785186685	0.12176583863759848	0.28870016127619796	0.22875296377338006	0.2945040787107029	0.19376096995675723	0.12628231756787872	0.21948112917641205	0.1373431755204858	0.10957742812986704	0.1491064886778376	0.0197522408347418	0.06751296645723233	0.19009586226388908	0.18604627654108172	0.04339987247337691	0.02382978864985971	0.14415238429261312	0.15158079014384576	0.07010683682488919	0.07150655818688485	0.03404932404918908	0.06353499108353843	0.05028588485454531	0.15542934167128497	0.0	0.15507722021263004	0.17620172972538817	0.049797841923144556	0.07284028964570975	0.12770189418510752	0.06891963568282024	0.013138386711572058	0.06510715352297605	0.003549763486229666	0.07784727859016626	0.1168663440910943	0.034543305056972826	0.05643912685459189	0.004956488848911908	0.01969614874811589	0.05537965201712371	0.05991094904903161	0.0036183958371895394	0.07036741042739299	0.021781879257409507	0.008269898853210863	0.02677388336628556	0.02915427987723738	0.1582168250687798
G2-415	0.12899451560763314	0.11663067612049223	0.160817502778277	0.11224481508210851	0.12837604745834816	0.1664685330586266	0.2543716325104799	0.17478096612088462	0.2585186483447196	0.06643195770832011	0.08026575582858378	0.16892848820557718	0.07802761816864158	0.06077065242347815	0.10522882368564006	0.14965633776955184	0.12424550012052643	0.14386918569886759	0.141726111709448	0.17099045299942955	0.14275635061280637	0.1002813824356227	0.10352530190088798	0.11845621966623336	0.11899603322360239	0.1518918788319481	0.13331763030715246	0.14146094008063814	0.11183835598263263	0.15507722021263004	0.0	0.02491231022744876	0.10599773730990412	0.08767904666069498	0.09940322047347046	0.12082069410406679	0.14873722893419278	0.12882329456968436	0.15354886484891567	0.1291969985103231	0.0948842984575432	0.14380607073115365	0.13072290125093342	0.1533959597904431	0.14491985902720145	0.17791248706903884	0.12681773799970308	0.1536932431419585	0.12081167418234313	0.16175438608626333	0.15271093759598145	0.1523541667540773	0.15292127404984013	0.14929231369234663
G2-416	0.15390682583508192	0.13665285965343524	0.1822816436492279	0.1336619279097551	0.1429978189173771	0.18085429312662607	0.27100274605275887	0.19322277405400623	0.2701806355186598	0.07303008500678496	0.10517806524453097	0.1898437467767648	0.10047046044932097	0.08548076595375588	0.11900862340762383	0.16967852019067378	0.14426768286752698	0.1597505856061251	0.15672601530894162	0.19231937435789662	0.16300374019731825	0.11393702733859727	0.11857589140048293	0.1421184924055169	0.13900389722073345	0.17326424530254703	0.15464723036433578	0.16281306035256304	0.12670792185653873	0.17620172972538817	0.02491231022744876	0.0	0.12779871989273187	0.1091106410376465	0.1207841733896967	0.14084288154116323	0.17019655783558824	0.15216213638607384	0.17496167554630285	0.15110571544052487	0.11617845520894163	0.16870983847311793	0.15563521147838216	0.1749706938238388	0.1660643206661982	0.19996796072079814	0.14683992377545763	0.17496719601571917	0.14083386105074944	0.18392780678977755	0.17272024441632067	0.17360800802484763	0.17403465761640638	0.17397502055529082
G3-417	0.07795710414402973	0.09200231856161932	0.05502224846209493	0.10522121303954211	0.17993900702621976	0.10215167382553936	0.27461029956338934	0.22960272978194432	0.27879381334162756	0.1632015746593057	0.11876807596798049	0.2150034553867549	0.13145436324396406	0.07434251327806021	0.15659815504945165	0.044451549631319656	0.07496113318291453	0.19512239637825207	0.19272606502538903	0.06663890917576228	0.03801986905114001	0.1513822330501198	0.15513746567931833	0.07311272509582543	0.07837599490114658	0.046625370824114575	0.07146260740008607	0.05819809774089584	0.16316136961390917	0.049797841923144556	0.10599773730990412	0.12779871989273187	0.0	0.0521059022548152	0.13366332432848327	0.07465878642530173	0.0435018492730184	0.07047561308284533	0.048147002388706346	0.07967191704052771	0.11671519828515418	0.045956288395900775	0.05964980014384199	0.0479598809582491	0.03996614296219797	0.07541908258091742	0.06714044767430456	0.048578934336116014	0.07684346482020177	0.057949745651258676	0.047474279078481244	0.04693700095316957	0.04765733434137214	0.14066390425329042
G3-418	0.048994409513104346	0.041314214263404765	0.0784255914197236	0.05576399559416825	0.1314442645828629	0.11912220640327524	0.27304368156370057	0.18104251220542011	0.27718215491245574	0.1283701302969775	0.07046059561829837	0.16729487865657494	0.08319274367603885	0.04236034108876226	0.10560302009697539	0.06406856304758167	0.03875073843239392	0.14693009465653353	0.14241959370880794	0.11203997344943036	0.05817343640028712	0.10160631221972309	0.10696364174661778	0.0376162848035809	0.03350523883752679	0.06605150444139621	0.0473239282761563	0.055833544382432446	0.11300600174450913	0.07284028964570975	0.08767904666069498	0.1091106410376465	0.0521059022548152	0.0	0.08540330792908077	0.03495837744853051	0.0625379680515408	0.04712624044424698	0.07057310355444871	0.04974492892488363	0.06637032278382546	0.06609306381545071	0.05145773549524945	0.0738906791069389	0.060223112785164616	0.12440702923695564	0.04155480366313577	0.07174267688192022	0.03495435724049565	0.09297305041656347	0.06894730814013732	0.06671241991514801	0.06684675105576215	0.1378635498379118
G3-419	0.09410128604923497	0.04734504626880476	0.13325477379681772	0.04196973112697656	0.06551315139720752	0.18444532993896107	0.27977182030312886	0.10900850180500407	0.28556466803502867	0.13586737641322155	0.040758446886088213	0.12025402562227976	0.03022551549362984	0.09009851140356914	0.03943575240960091	0.1132518842872096	0.06465343093979752	0.07895606184087517	0.07573431033592339	0.1667948094860911	0.10968969163765274	0.02247534248596254	0.04097238817761745	0.067841408471692	0.06010128305378401	0.10812809650725437	0.07675856764613807	0.09071762079009475	0.030825798982437737	0.12770189418510752	0.09940322047347046	0.1207841733896967	0.13366332432848327	0.08540330792908077	0.0	0.06466057153295816	0.11715424079754937	0.08309240074275606	0.1268428408673413	0.08804527093185302	0.020591864447441963	0.12192106583703678	0.09650352144928305	0.12946051718819993	0.11188139020958736	0.1793003699248846	0.07152144848115695	0.12868932754552087	0.06249115298072268	0.14522652082647977	0.12509673912018604	0.11867200191871116	0.1131704942959827	0.1574723011665025
G3-42	0.03904031363761107	0.01902629052639351	0.07418602891636679	0.033866742170757864	0.10991317496932156	0.1253256489227635	0.28060796603180405	0.16589382850360126	0.2863401177238805	0.16179392540595644	0.06123159454663606	0.1569635635924993	0.07485183466320805	0.07540452026250123	0.08320616754430309	0.05413971275861556	0.005721337961851938	0.12512821871333224	0.12077222108504014	0.10699190437539408	0.0469333286925203	0.07938759066482803	0.08534171164404292	0.007310551951747502	0.005829735992159723	0.05415985309480306	0.01993639543234516	0.03520819515445517	0.0931927246481871	0.06891963568282024	0.12082069410406679	0.14084288154116323	0.07465878642530173	0.03495837744853051	0.06466057153295816	0.0	0.05674416849798349	0.027977121220611686	0.06629155166619237	0.03179133643588321	0.054299839655016696	0.061723636681290925	0.0357241113869194	0.06961516771432677	0.050903826672721364	0.12020222877164367	0.012206162002212535	0.0673844593248218	0.0032305804903584386	0.08703409252475137	0.06310696458510034	0.059150121548079485	0.056769297951463835	0.14967804281254335
G3-420	0.06311455896042413	0.07309472893959912	0.018261610978100327	0.08749258232841976	0.16411038830478916	0.12034982135224984	0.2867266799659592	0.21835807018586184	0.2924588316580356	0.1890812910793345	0.11543885687113216	0.20944096452591576	0.1273160763454686	0.10348697563080839	0.13759957148959334	0.009251990827373305	0.05676221728203105	0.1789292984860921	0.17427079978608997	0.052985888186657656	0.011824331410140325	0.13342719132623046	0.13948201283999853	0.05807710179530486	0.060837175605461744	0.023982018909384378	0.05297522047564143	0.04001738592930376	0.14506945391836795	0.013138386711572058	0.14873722893419278	0.17019655783558824	0.0435018492730184	0.0625379680515408	0.11715424079754937	0.05674416849798349	0.0	0.054947693137082906	0.010585053576285688	0.0698335368742793	0.1064052823211084	0.029247518899325347	0.0443883026101099	0.014201021857569733	0.008005354467702243	0.06498015011731531	0.049160199873830315	0.012112348906022911	0.0582526938144095	0.03281092071106464	0.009330577992671835	0.015548022446545445	0.019047276008823916	0.15619806866417338
G3-421	0.02903348567196776	0.04081178786377886	0.07016689421726871	0.057572892772678866	0.13455672651606068	0.11052596563802079	0.269437294068986	0.17283782347593613	0.27516944576106234	0.168058497600607	0.07557991201904837	0.1635282160456827	0.08754760105689548	0.07875699595977292	0.10848378219666807	0.05061148975796576	0.024613076308390942	0.14558877727866654	0.1450763374653466	0.10248226439670323	0.04670739815263184	0.10007987308656521	0.10943815524721534	0.02531094339215063	0.029971319909018794	0.04800946955046587	0.028761566557776893	0.031111052932512942	0.11306131888828666	0.06510715352297605	0.12882329456968436	0.15216213638607384	0.07047561308284533	0.04712624044424698	0.08309240074275606	0.027977121220611686	0.054947693137082906	0.0	0.06458555802962888	0.040467164795871646	0.07381807840662051	0.0458926009371634	0.02221610285191446	0.0662996223852377	0.04893555972510128	0.11569481621587498	0.02355301545261826	0.06597164990296747	0.029473838849669715	0.07768298265403817	0.062306958906123505	0.05582860783464077	0.05096796099722785	0.13280317623097934
