	G1-11	G1-110	G1-115	G1-116	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-157	G1-158	G1-159	G1-161	G1-162	G1-177	G1-178	G1-19	G1-193	G2-194	G2-41	G2-410	G2-411	G2-412	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-42	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46	G3-47	G3-48	G3-49
G1-138	0.7079872204472843	0.6741214057507987	0.8549520766773163	0.8351437699680511	0.8869009584664537	0.4881789137380192	0.5354632587859425	0.19297124600638976	0.529073482428115	0.6376996805111821	0.6869009584664537	0.0	0.3795527156549521	0.7175718849840256	0.7891373801916933	0.746964856230032	0.7329073482428115	0.810223642172524	0.82555910543131	0.8645367412140575	0.8690095846645367	0.4485623003194888	0.8345047923322684	0.8236421725239617	0.771884984025559	0.6881789137380192	0.7431309904153355	0.7162939297124601	0.3936102236421725	0.7361022364217252	0.7712460063897764	0.8287539936102236	0.7808306709265176	0.7450479233226837	0.4230031948881789	0.8287539936102236	0.8006389776357827	0.6907348242811502	0.8281150159744409	0.7309904153354633	0.3744408945686901	0.7546325878594249	0.7635782747603834	0.805111821086262	0.7961661341853035	0.8274760383386581	0.746964856230032	0.8146964856230032	0.8140575079872204	0.7795527156549521	0.8472843450479233	0.8345047923322684	0.7431309904153355	0.7782747603833866
G1-14	0.42619808306709267	0.45559105431309904	0.7188498402555911	0.6971246006389776	0.6357827476038339	0.5252396166134186	0.7936102236421725	0.3060702875399361	0.8	0.5220447284345048	0.4172523961661342	0.3795527156549521	0.0	0.3769968051118211	0.6166134185303515	0.5654952076677316	0.5405750798722044	0.6741214057507987	0.6894568690095847	0.5246006389776358	0.5201277955271566	0.34313099041533546	0.5207667731629393	0.47028753993610223	0.4696485623003195	0.5789137380191693	0.6019169329073483	0.5750798722044729	0.3015974440894569	0.4191693290734824	0.47539936102236424	0.7699680511182109	0.45431309904153355	0.3718849840255591	0.23833865814696487	0.47987220447284346	0.4517571884984026	0.34185303514376997	0.4792332268370607	0.43769968051118213	0.18274760383386582	0.4306709265175719	0.4402555910543131	0.4504792332268371	0.44217252396166135	0.5623003194888179	0.4536741214057508	0.460702875399361	0.48434504792332267	0.47348242811501595	0.4984025559105431	0.6932907348242812	0.6019169329073483	0.7776357827476038
G1-15	0.405111821086262	0.5993610223642173	0.746964856230032	0.7431309904153355	0.65814696485623	0.45559105431309904	0.82555910543131	0.665814696485623	0.8261980830670926	0.44217252396166135	0.470926517571885	0.7175718849840256	0.3769968051118211	0.0	0.645367412140575	0.6351437699680511	0.6255591054313099	0.7437699680511182	0.7495207667731629	0.41980830670926517	0.4230031948881789	0.6370607028753994	0.5623003194888179	0.43450479233226835	0.5086261980830671	0.74185303514377	0.7156549520766773	0.7118210862619808	0.6530351437699681	0.41405750798722046	0.2594249201277955	0.5303514376996805	0.26070287539936104	0.22747603833865815	0.49584664536741213	0.44217252396166135	0.41533546325878595	0.3801916932907348	0.4159744408945687	0.3757188498402556	0.40319488817891375	0.38849840255591056	0.39424920127795526	0.4038338658146965	0.38466453674121404	0.48753993610223645	0.5246006389776358	0.40191693290734826	0.48690095846645365	0.44664536741214056	0.40191693290734826	0.7009584664536741	0.7067092651757189	0.7616613418530351
G1-157	0.5361022364217253	0.31309904153354634	0.6523961661341853	0.3859424920127795	0.25878594249201275	0.8281150159744409	0.8971246006389776	0.6728434504792332	0.9099041533546326	0.7079872204472843	0.4083067092651757	0.7891373801916933	0.6166134185303515	0.645367412140575	0.0	0.4293929712460064	0.3047923322683706	0.22364217252396165	0.22619808306709266	0.5559105431309904	0.3795527156549521	0.3801916932907348	0.3092651757188498	0.51629392971246	0.2523961661341853	0.6984025559105431	0.544408945686901	0.6089456869009585	0.7495207667731629	0.6134185303514377	0.7501597444089457	0.7258785942492013	0.7361022364217252	0.5827476038338658	0.6779552715654952	0.24472843450479234	0.5616613418530352	0.5194888178913738	0.5763578274760384	0.6498402555910543	0.673482428115016	0.6645367412140575	0.6198083067092651	0.6421725239616614	0.5897763578274761	0.7482428115015974	0.31309904153354634	0.6357827476038339	0.23706070287539935	0.5079872204472844	0.4217252396166134	0.5712460063897764	0.6236421725239617	0.8325878594249201
G1-158	0.6408945686900959	0.22747603833865815	0.6805111821086262	0.6600638977635783	0.6773162939297125	0.8191693290734824	0.8977635782747604	0.6306709265175718	0.9099041533546326	0.6587859424920128	0.6345047923322684	0.746964856230032	0.5654952076677316	0.6351437699680511	0.4293929712460064	0.0	0.1546325878594249	0.6415335463258786	0.6523961661341853	0.5412140575079872	0.5035143769968051	0.3584664536741214	0.6402555910543131	0.6370607028753994	0.31437699680511183	0.6562300319488817	0.5763578274760384	0.5725239616613419	0.6990415335463259	0.5878594249201278	0.7399361022364217	0.6913738019169329	0.7258785942492013	0.6198083067092651	0.6261980830670927	0.4249201277955272	0.5904153354632588	0.4837060702875399	0.602555910543131	0.5968051118210863	0.6217252396166134	0.6536741214057508	0.6293929712460063	0.6325878594249201	0.5808306709265175	0.7380191693290735	0.2364217252396166	0.6261980830670927	0.3680511182108626	0.2549520766773163	0.37763578274760384	0.6249201277955272	0.5808306709265175	0.8313099041533546
G1-159	0.5130990415335464	0.08498402555910543	0.6479233226837061	0.5335463258785943	0.5405750798722044	0.8089456869009585	0.8984025559105431	0.6166134185303515	0.9105431309904153	0.6447284345047923	0.4996805111821086	0.7329073482428115	0.5405750798722044	0.6255591054313099	0.3047923322683706	0.1546325878594249	0.0	0.5150159744408945	0.526517571884984	0.5277955271565495	0.3667731629392971	0.2913738019169329	0.5028753993610223	0.49904153354632586	0.17635782747603834	0.6415335463258786	0.48434504792332267	0.5488817891373802	0.673482428115016	0.5776357827476039	0.7297124600638978	0.6920127795527157	0.7124600638977636	0.5629392971246007	0.5980830670926518	0.2888178913738019	0.5405750798722044	0.4389776357827476	0.5539936102236421	0.5808306709265175	0.5968051118210863	0.6408945686900959	0.5980830670926518	0.6185303514376996	0.5699680511182109	0.7246006389776358	0.10543130990415335	0.6159744408945687	0.2319488817891374	0.25431309904153354	0.30095846645367413	0.5699680511182109	0.5667731629392971	0.8293929712460064
G1-161	0.5961661341853035	0.5258785942492012	0.5386581469648563	0.2805111821086262	0.2268370607028754	0.8913738019169329	0.8952076677316294	0.6619808306709265	0.9111821086261981	0.7591054313099042	0.4696485623003195	0.810223642172524	0.6741214057507987	0.7437699680511182	0.22364217252396165	0.6415335463258786	0.5150159744408945	0.0	0.02428115015974441	0.7686900958466454	0.5955271565495208	0.5897763578274761	0.3859424920127795	0.5872204472843451	0.4562300319488818	0.6083067092651757	0.46134185303514375	0.5297124600638977	0.8172523961661342	0.7233226837060703	0.8338658146964856	0.9431309904153354	0.7891373801916933	0.6498402555910543	0.736741214057508	0.4619808306709265	0.6357827476038339	0.6140575079872205	0.6517571884984026	0.7233226837060703	0.7437699680511182	0.7322683706070288	0.7009584664536741	0.7271565495207668	0.7105431309904153	0.8325878594249201	0.5233226837060703	0.7405750798722045	0.45878594249201277	0.7130990415335463	0.6440894568690095	0.5041533546325878	0.5629392971246007	0.7188498402555911
G1-162	0.6019169329073483	0.5361022364217253	0.5297124600638977	0.2690095846645367	0.22044728434504793	0.8964856230031949	0.9015974440894569	0.6766773162939297	0.9175718849840255	0.7731629392971247	0.4747603833865815	0.82555910543131	0.6894568690095847	0.7495207667731629	0.22619808306709266	0.6523961661341853	0.526517571884984	0.02428115015974441	0.0	0.7763578274760383	0.5993610223642173	0.6019169329073483	0.39105431309904154	0.5961661341853035	0.47028753993610223	0.6031948881789138	0.4562300319488818	0.5246006389776358	0.8281150159744409	0.7361022364217252	0.8402555910543131	0.949520766773163	0.7980830670926518	0.6523961661341853	0.7520766773162939	0.465814696485623	0.6376996805111821	0.6332268370607029	0.6530351437699681	0.74185303514377	0.7559105431309904	0.744408945686901	0.7054313099041534	0.7335463258785943	0.7143769968051118	0.8415335463258786	0.5348242811501598	0.744408945686901	0.46006389776357826	0.7284345047923323	0.6466453674121406	0.4939297124600639	0.5584664536741214	0.7162939297124601
G1-177	0.39105431309904154	0.5041533546325878	0.771884984025559	0.7706070287539936	0.6511182108626198	0.4575079872204473	0.8920127795527156	0.7699680511182109	0.9041533546325878	0.7750798722044728	0.6070287539936102	0.8645367412140575	0.5246006389776358	0.41980830670926517	0.5559105431309904	0.5412140575079872	0.5277955271565495	0.7686900958466454	0.7763578274760383	0.0	0.1801916932907348	0.5380191693290735	0.5559105431309904	0.3124600638977636	0.4115015974440895	0.7801916932907348	0.7431309904153355	0.739297124600639	0.6900958466453674	0.25431309904153354	0.5674121405750798	0.7067092651757189	0.2415335463258786	0.3603833865814696	0.5271565495207667	0.3469648562300319	0.17380191693290734	0.2913738019169329	0.17252396166134185	0.3463258785942492	0.5028753993610223	0.20191693290734825	0.2766773162939297	0.15527156549520768	0.17635782747603834	0.22108626198083067	0.4268370607028754	0.14440894568690096	0.3916932907348243	0.35207667731629394	0.23386581469648562	0.7252396166134185	0.7233226837060703	0.8281150159744409
G1-178	0.23450479233226837	0.3501597444089457	0.7015974440894569	0.5955271565495208	0.47220447284345046	0.45878594249201277	0.8932907348242811	0.7527156549520767	0.9054313099041533	0.7808306709265176	0.43322683706070286	0.8690095846645367	0.5201277955271566	0.4230031948881789	0.3795527156549521	0.5035143769968051	0.3667731629392971	0.5955271565495208	0.5993610223642173	0.1801916932907348	0.0	0.4536741214057508	0.3795527156549521	0.15143769968051118	0.2415335463258786	0.7827476038338658	0.6255591054313099	0.6900958466453674	0.6926517571884984	0.3233226837060703	0.5686900958466453	0.7124600638977636	0.3744408945686901	0.2722044728434505	0.5329073482428115	0.1744408945686901	0.24600638977635783	0.24345047923322682	0.24792332268370607	0.3559105431309904	0.5060702875399361	0.30670926517571884	0.2549520766773163	0.3015974440894569	0.2594249201277955	0.3840255591054313	0.27412140575079874	0.2869009584664537	0.21980830670926518	0.36869009584664536	0.131629392971246	0.6313099041533546	0.7060702875399361	0.8428115015974441
G1-19	0.5904153354632588	0.23514376996805111	0.6472843450479233	0.6089456869009585	0.6274760383386582	0.8204472843450479	0.8984025559105431	0.3801916932907348	0.9105431309904153	0.6383386581469649	0.5865814696485623	0.4485623003194888	0.34313099041533546	0.6370607028753994	0.3801916932907348	0.3584664536741214	0.2913738019169329	0.5897763578274761	0.6019169329073483	0.5380191693290735	0.4536741214057508	0.0	0.5891373801916933	0.5853035143769968	0.33738019169329075	0.5623003194888179	0.4862619808306709	0.5041533546325878	0.40063897763578277	0.5891373801916933	0.7412140575079872	0.6984025559105431	0.7233226837060703	0.5744408945686901	0.3246006389776358	0.3929712460063898	0.552076677316294	0.4172523961661342	0.5654952076677316	0.5916932907348242	0.32396166134185306	0.6517571884984026	0.6095846645367412	0.6293929712460063	0.5814696485623003	0.7354632587859425	0.30415335463258786	0.6274760383386582	0.37507987220447286	0.468370607028754	0.4108626198083067	0.5744408945686901	0.5437699680511182	0.8281150159744409
G1-193	0.3693290734824281	0.48690095846645365	0.6984025559105431	0.44920127795527154	0.26198083067092653	0.6837060702875399	0.8511182108626199	0.6741214057507987	0.8766773162939298	0.7731629392971247	0.2888178913738019	0.8345047923322684	0.5207667731629393	0.5623003194888179	0.3092651757188498	0.6402555910543131	0.5028753993610223	0.3859424920127795	0.39105431309904154	0.5559105431309904	0.3795527156549521	0.5891373801916933	0.0	0.26964856230031947	0.3405750798722045	0.7853035143769969	0.6383386581469649	0.7003194888178914	0.6357827476038339	0.5380191693290735	0.607667731629393	0.853035143769968	0.6057507987220447	0.4645367412140575	0.6191693290734824	0.28434504792332266	0.46517571884984027	0.49009584664536743	0.4792332268370607	0.6006389776357828	0.6178913738019169	0.43769968051118213	0.3501597444089457	0.46645367412140576	0.4217252396166134	0.6006389776357828	0.4095846645367412	0.45431309904153355	0.2958466453674121	0.5872204472843451	0.44664536741214056	0.6594249201277955	0.74185303514377	0.8402555910543131
G2-194	0.18146964856230033	0.4837060702875399	0.6900958466453674	0.5884984025559106	0.47220447284345046	0.44984025559105434	0.8453674121405751	0.663258785942492	0.870926517571885	0.7635782747603834	0.38338658146964855	0.8236421725239617	0.47028753993610223	0.43450479233226835	0.51629392971246	0.6370607028753994	0.49904153354632586	0.5872204472843451	0.5961661341853035	0.3124600638977636	0.15143769968051118	0.5853035143769968	0.26964856230031947	0.0	0.3782747603833866	0.7814696485623003	0.6325878594249201	0.6881789137380192	0.6249201277955272	0.2900958466453674	0.5642172523961662	0.8492012779552716	0.35654952076677315	0.25431309904153354	0.5226837060702876	0.3137380191693291	0.21916932907348244	0.26645367412140575	0.23322683706070288	0.3597444089456869	0.5035143769968051	0.18274760383386582	0.13099041533546327	0.22044728434504793	0.18210862619808307	0.35207667731629394	0.40638977635782747	0.21022364217252396	0.35782747603833864	0.4952076677316294	0.26389776357827477	0.6562300319488817	0.7386581469648562	0.8242811501597445
G2-41	0.40063897763578277	0.16102236421725238	0.6440894568690095	0.47859424920127797	0.43003194888178914	0.6920127795527157	0.8913738019169329	0.655591054313099	0.9035143769968051	0.6837060702875399	0.36549520766773164	0.771884984025559	0.4696485623003195	0.5086261980830671	0.2523961661341853	0.31437699680511183	0.17635782747603834	0.4562300319488818	0.47028753993610223	0.4115015974440895	0.2415335463258786	0.33738019169329075	0.3405750798722045	0.3782747603833866	0.0	0.6843450479233227	0.5252396166134186	0.5878594249201278	0.6089456869009585	0.465814696485623	0.6121405750798722	0.6837060702875399	0.5955271565495208	0.4460063897763578	0.5322683706070288	0.1220447284345048	0.4281150159744409	0.3693290734824281	0.44345047923322684	0.4984025559105431	0.5239616613418531	0.5277955271565495	0.4862619808306709	0.5073482428115016	0.46006389776357826	0.6108626198083067	0.08370607028753993	0.5047923322683706	0.06964856230031949	0.2715654952076677	0.1987220447284345	0.5610223642172524	0.6089456869009585	0.8198083067092652
G2-410	0.7859424920127795	0.5827476038338658	0.3060702875399361	0.3514376996805112	0.8217252396166134	0.8926517571884984	0.9022364217252397	0.5859424920127796	0.9130990415335464	0.7111821086261981	0.7757188498402556	0.6881789137380192	0.5789137380191693	0.74185303514377	0.6984025559105431	0.6562300319488817	0.6415335463258786	0.6083067092651757	0.6031948881789138	0.7801916932907348	0.7827476038338658	0.5623003194888179	0.7853035143769969	0.7814696485623003	0.6843450479233227	0.0	0.15910543130990415	0.10990415335463259	0.6792332268370607	0.6939297124600639	0.8178913738019169	0.9265175718849841	0.802555910543131	0.7584664536741214	0.6089456869009585	0.7399361022364217	0.7348242811501597	0.6089456869009585	0.7476038338658147	0.6766773162939297	0.6019169329073483	0.7706070287539936	0.7744408945686901	0.7488817891373802	0.7424920127795527	0.8217252396166134	0.655591054313099	0.759744408945687	0.7226837060702875	0.6996805111821086	0.7571884984025559	0.2012779552715655	0.14249201277955273	0.5303514376996805
G2-411	0.6389776357827476	0.46134185303514375	0.23514376996805111	0.20447284345047922	0.6753993610223642	0.8926517571884984	0.9022364217252397	0.5961661341853035	0.9130990415335464	0.7111821086261981	0.6306709265175718	0.7431309904153355	0.6019169329073483	0.7156549520766773	0.544408945686901	0.5763578274760384	0.48434504792332267	0.46134185303514375	0.4562300319488818	0.7431309904153355	0.6255591054313099	0.4862619808306709	0.6383386581469649	0.6325878594249201	0.5252396166134186	0.15910543130990415	0.0	0.07412140575079872	0.734185303514377	0.681150159744409	0.8146964856230032	0.9150159744408946	0.7993610223642172	0.6434504792332268	0.660702875399361	0.5833865814696486	0.6255591054313099	0.518849840255591	0.6396166134185304	0.6677316293929713	0.655591054313099	0.7277955271565495	0.6837060702875399	0.7041533546325879	0.6798722044728435	0.8115015974440895	0.4984025559105431	0.7111821086261981	0.5667731629392971	0.6862619808306709	0.6121405750798722	0.12268370607028754	0.1207667731629393	0.5271565495207667
