	G2-1100	G2-1101	G2-1102	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-199	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330
G2-315	0.11086935908046346	0.30697271645405727	0.1111668274638117	0.3392475167524359	0.11927094140066338	0.1137124032243161	0.40023626865316153	0.15756647915349942	0.15997269379300413	0.16074701750883114	0.15756647915349942	0.27624199601731136	0.16711426507246724	0.21001147766820316	0.0	0.15886635750865669	0.12606013904014007	0.1162438767915481	0.11958998259769806	0.11958998259769806	0.16315323214833585	0.11958998259769806	0.331938697911561	0.2070431171804729	0.28614426273628396	0.2256907726802706	0.2878803481515799	0.207622873028798	0.2105266368891235	0.20223475270773328
G2-316	0.0649627477181452	0.2762409585276134	0.059974738948330164	0.31450387729234724	0.07382325019434935	0.06783984671694425	0.38016874630783876	0.1163584777394369	0.11411617706576756	0.11970414963979878	0.1163584777394369	0.24652905770083455	0.12712788260181362	0.08695152223353105	0.15886635750865669	0.0	0.18280308299051481	0.06534419945806749	0.06888302325664097	0.06888302325664097	0.11747033883692778	0.06888302325664097	0.30661126421292245	0.17063967594655452	0.25376377882078177	0.19107395226894233	0.25566674221190494	0.17141959253152333	0.2650658638809157	0.16550903052032442
G2-317	0.14180404987287523	0.32397159898107764	0.13757977652453748	0.35190611413946793	0.14081698739683793	0.13543208631802908	0.41079856695537664	0.17732763766961854	0.17538442917779248	0.1804424661792746	0.17732763766961854	0.2979651311885805	0.19474309237144957	0.23523854756664575	0.12606013904014007	0.18280308299051481	0.0	0.13328565964203104	0.13656724130283632	0.13656724130283632	0.17850661512582583	0.13656724130283632	0.34485571163414525	0.22476858425177215	0.3022524494027164	0.24265134973725225	0.30391641203130243	0.2252587816805719	0.1061170017782988	0.22009376735626254
G2-318	0.011322690347453155	0.24553646570575613	0.005712038529400961	0.27986014732021397	0.009439276850052554	0.002856266494579754	0.35209231277994274	0.05817471594766821	0.055626977278713664	0.06174068507488071	0.05817471594766821	0.21299997220968173	0.0809305177447367	0.1333096322595959	0.1162438767915481	0.06534419945806749	0.13328565964203104	0.0	0.00378623210439778	0.00378623210439778	0.05920259273586818	0.00378623210439778	0.2711445475141777	0.11938517060345408	0.2078775689848955	0.14238815717043826	0.21002140463750416	0.1204700076838095	0.2252587868390747	0.11380729166445679
G2-319	0.015066052134235033	0.2483930397608984	0.009476643530137165	0.2778837299144639	0.005695973732806237	0.0066316841110770405	0.35454544166598145	0.06174068507488071	0.05920259273586818	0.058382907593704264	0.06174068507488071	0.21597973698106337	0.08441032812462382	0.13659112315450694	0.11958998259769806	0.06888302325664097	0.13656724130283632	0.00378623210439778	0.0	0.0	0.055826591702926906	0.0	0.26911993359371617	0.11642795727718275	0.21120767365341173	0.13958366578551723	0.2133424965614802	0.12380011237749779	0.22819213689294468	0.11716262294744004
G2-320	0.015066052134235033	0.2483930397608984	0.009476643530137165	0.2778837299144639	0.005695973732806237	0.0066316841110770405	0.35454544166598145	0.06174068507488071	0.05920259273586818	0.058382907593704264	0.06174068507488071	0.21597973698106337	0.08441032812462382	0.13659112315450694	0.11958998259769806	0.06888302325664097	0.13656724130283632	0.00378623210439778	0.0	0.0	0.055826591702926906	0.0	0.26911993359371617	0.11642795727718275	0.21120767365341173	0.13958366578551723	0.2133424965614802	0.12380011237749779	0.22819213689294468	0.11716262294744004
G2-321	0.06926873236041764	0.2803736819704591	0.06427914461339969	0.30745333484586895	0.06090595912690876	0.06174068507488071	0.3163813419632616	0.006263778793156822	0.0035756154571545086	0.002707464400409211	0.006263778793156822	0.250714471322554	0.030273820646199955	0.08553993444620338	0.16315323214833585	0.11747033883692778	0.17850661512582583	0.05920259273586818	0.055826591702926906	0.055826591702926906	0.0	0.055826591702926906	0.2259048391073507	0.06418457143752594	0.15940018513821547	0.08870941857349697	0.1616752221553689	0.07199262347069176	0.18255708503896456	0.06496267603547512
G2-322	0.015066052134235033	0.2483930397608984	0.009476643530137165	0.2778837299144639	0.005695973732806237	0.0066316841110770405	0.35454544166598145	0.06174068507488071	0.05920259273586818	0.058382907593704264	0.06174068507488071	0.21597973698106337	0.08441032812462382	0.13659112315450694	0.11958998259769806	0.06888302325664097	0.13656724130283632	0.00378623210439778	0.0	0.0	0.055826591702926906	0.0	0.26911993359371617	0.11642795727718275	0.21120767365341173	0.13958366578551723	0.2133424965614802	0.12380011237749779	0.22819213689294468	0.11716262294744004
G2-323	0.2736128351101796	0.4113132035518711	0.27419516441473346	0.3555376957893908	0.26854378556129466	0.2690488440625691	0.42764801386083406	0.22595345988969107	0.22804916334129965	0.22380331421286642	0.22595345988969107	0.38879455264120827	0.23695602610547903	0.2747916072460422	0.331938697911561	0.30661126421292245	0.34485571163414525	0.2711445475141777	0.26911993359371617	0.26911993359371617	0.2259048391073507	0.26911993359371617	0.0	0.1728121408708197	0.2509362690717215	0.19451584735656785	0.25261642857687394	0.17852939438176713	0.2612967245810619	0.1771871922657884
G2-324	0.12350690681572571	0.3161234657870282	0.12383454068705115	0.3374731895392379	0.11611572474955133	0.11685310813316618	0.3440631387324208	0.06478457485713111	0.067316637327419	0.06164400598883011	0.06478457485713111	0.28589029763311224	0.08130332058867654	0.13515335941813023	0.2070431171804729	0.17063967594655452	0.22476858425177215	0.11938517060345408	0.11642795727718275	0.11642795727718275	0.06418457143752594	0.11642795727718275	0.1728121408708197	0.0	0.09575114336653341	0.03105007501895206	0.09819844300327916	0.00834358121789028	0.12649130372136858	0.005864389383503632
G2-325	0.21131537486121862	0.38415597001627205	0.21185984700978774	0.4071055332748488	0.20618827176524201	0.20535820096940396	0.40543134300552064	0.15355071245420773	0.15607008046969925	0.15688081712272395	0.15355071245420773	0.3568380412063999	0.1681951744050951	0.21694502585688313	0.28614426273628396	0.25376377882078177	0.3022524494027164	0.2078775689848955	0.21120767365341173	0.21120767365341173	0.15940018513821547	0.21120767365341173	0.2509362690717215	0.09575114336653341	0.0	0.11924045165355689	0.008433780638802997	0.09220270124057663	0.19613544762441756	0.09492592239039528
G2-326	0.1462341889819875	0.3300778033515696	0.14660865808364207	0.3505413799679146	0.13922288784690323	0.1399222359880852	0.3561750213817477	0.08921381127657654	0.0916797324589296	0.08623543353944967	0.08921381127657654	0.30104933653914157	0.10937001289423087	0.15608575561741644	0.2256907726802706	0.19107395226894233	0.24265134973725225	0.14238815717043826	0.13958366578551723	0.13958366578551723	0.08870941857349697	0.13958366578551723	0.19451584735656785	0.03105007501895206	0.11924045165355689	0.0	0.12613777476315513	0.03890527409513124	0.1465404891638003	0.031832709849379255
G2-327	0.2134339607182914	0.38545259132541526	0.21398222346834272	0.40830863184836025	0.2083366794075653	0.2075088551525354	0.40656257625928566	0.1558415807464241	0.15835413023139283	0.15916267267040016	0.1558415807464241	0.35824764049879204	0.1610073736023754	0.21890600748946676	0.2878803481515799	0.25566674221190494	0.30391641203130243	0.21002140463750416	0.2133424965614802	0.2133424965614802	0.1616752221553689	0.2133424965614802	0.25261642857687394	0.09819844300327916	0.008433780638802997	0.12613777476315513	0.0	0.0946534613664881	0.20202368850706925	0.09737545544217974
G2-328	0.12456310188487027	0.316200041195271	0.12489172922355068	0.34161495753397614	0.11878071045138672	0.11795063964927421	0.3440339313781025	0.06614315074246817	0.06866251877700345	0.06947325543615647	0.06614315074246817	0.286092695648148	0.08255330905839546	0.13608381547451517	0.207622873028798	0.17141959253152333	0.2252587816805719	0.1204700076838095	0.12380011237749779	0.12380011237749779	0.07199262347069176	0.12380011237749779	0.17852939438176713	0.00834358121789028	0.09220270124057663	0.03890527409513124	0.0946534613664881	0.0	0.12329678743511788	0.007518360235514349
G2-329	0.22817483956701473	0.38126418646246274	0.22869169450330404	0.4021972676118575	0.22377075550566894	0.22303958082617387	0.40094848796005605	0.17740452897219375	0.17962373498509457	0.1803378790260637	0.17740452897219375	0.3565347617442708	0.18990986975849422	0.23216085572161427	0.2105266368891235	0.2650658638809157	0.1061170017782988	0.2252587868390747	0.22819213689294468	0.22819213689294468	0.18255708503896456	0.22819213689294468	0.2612967245810619	0.12649130372136858	0.19613544762441756	0.1465404891638003	0.20202368850706925	0.12329678743511788	0.0	0.12576440104539713
