	G1-115	G1-116	G1-13	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-161	G1-162	G1-177	G1-178	G2-410	G2-411	G2-412	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-47	G3-48	G3-49
G2-414	0.02009696611890877	0.09863613705242345	0.12187313605404029	0.22652165627810314	0.2865608701256559	0.1854239106458566	0.12389457409621711	0.21946839619431455	0.13936899379317533	0.10469319718146157	0.18259868646917785	0.18473853145358682	0.043596553439140866	0.022892827898601434	0.04076051780608226	0.06822408397408472	0.05770831510665858	0.14927486962634073	0.0	0.14973951100105498	0.17625092093581718	0.04389037889646612	0.07062890531627447	0.12208203727731488	0.004015184866825737	0.06193188819481505	0.006999185752186255	0.08382936250327774	0.10094863009639232	0.029008907737695464	0.03138489396800081	0.1637659714733056
G2-415	0.15152975150010867	0.10640465714299012	0.16927879088755313	0.1764146774075801	0.25417997692612926	0.05957226915914576	0.07850526280228047	0.17135858092546746	0.08140605972548234	0.06080640877870729	0.1378075612269771	0.14049100226083794	0.165562943980372	0.1373916489175835	0.143062958259673	0.12521663135371391	0.13190847783219828	0.10613354290046328	0.14973951100105498	0.0	0.02847058309390424	0.10628893164251853	0.08136870934363521	0.09592716628710243	0.14762696369445819	0.12574612906601748	0.15093105031174153	0.12190027027270522	0.09507435570305396	0.14456874657070257	0.14619196285612202	0.149094144435229
G2-416	0.17896237951809316	0.13366371398435156	0.18304442323668652	0.19745122400983467	0.26760610636467713	0.07116873998805705	0.10693109829952047	0.19213315200274458	0.10198909733666865	0.08878095181362528	0.15429253433439	0.1567036805520736	0.19144823413549064	0.1626979374033317	0.16974907691598953	0.15199757955521592	0.15861682261165164	0.12209028614490391	0.17625092093581718	0.02847058309390424	0.0	0.13356070298086525	0.10811570224548478	0.12329798607487266	0.174523081415252	0.1535432197614636	0.17772705676861192	0.14990567295451074	0.12154315700478811	0.17134157009652043	0.17271787146707063	0.17725411805268196
G3-417	0.045587507085944994	0.1102523561203721	0.10310257097719762	0.23470765424559578	0.27281539280111994	0.1628674087511918	0.12391878847159486	0.22280804740414323	0.1400111188742807	0.07799255408181337	0.1948794444736373	0.19761134822586612	0.06012345706344524	0.03338593621670115	0.05542727777103892	0.08281732406773348	0.0725566728931357	0.1634375492868644	0.04389037889646612	0.10628893164251853	0.13356070298086525	0.0	0.055155883286665874	0.13416130055729258	0.04173431665546408	0.07395662164820596	0.045070680314822587	0.09280123507966527	0.10535753654984502	0.041075745761716485	0.04617438357394102	0.1450241319547322
G3-418	0.07278831982973002	0.05756446605082501	0.12169011975444656	0.18205354204115506	0.2695178624882564	0.11901897770607703	0.07176582749187023	0.1710348433019905	0.08742574491677955	0.03674649152395135	0.1421901516304295	0.14368390499124678	0.10952615587326756	0.0583989183832269	0.06286867441438639	0.04480027350626085	0.05137954644887548	0.10953187847568577	0.07062890531627447	0.08136870934363521	0.10811570224548478	0.055155883286665874	0.0	0.08243796776144612	0.06856029515327945	0.04836043292748882	0.07402575494180284	0.04736126488831565	0.051506699803441344	0.06501092258548949	0.065602485396366	0.1418702117233334
G3-419	0.12138797317159104	0.03661119563782691	0.1832224130943461	0.11241654619405671	0.2772400544998564	0.12983801631263	0.038168193837441924	0.11697196249214452	0.0343187737982475	0.08508755215510348	0.07652382823369308	0.08002683948208718	0.16144672529987675	0.10600770221979722	0.09533075761268858	0.06606691428332391	0.07702951727922668	0.030863669824319755	0.12208203727731488	0.09592716628710243	0.12329798607487266	0.13416130055729258	0.08243796776144612	0.0	0.12108632015995031	0.07934488817785808	0.12668039525945385	0.07847365368168678	0.03364892541934323	0.1101540546837671	0.10568122729555973	0.1603622466439083
G3-420	0.017262464526823104	0.09637237175375772	0.12064777743637042	0.22578608352893295	0.28481185920587887	0.1855987374996187	0.122322033913804	0.21903581923884224	0.13880417588677357	0.10293414513335739	0.18075850651014844	0.18260223444589857	0.043099135952565315	0.020388108604327538	0.04090302619158053	0.0677519120789125	0.05763182025729011	0.14917553343507303	0.004015184866825737	0.14762696369445819	0.174523081415252	0.04173431665546408	0.06856029515327945	0.12108632015995031	0.0	0.06097380381049192	0.0065569354974629535	0.08290956756129003	0.1006477441187852	0.027271746634662718	0.03136027478653322	0.16143861278432037
G3-421	0.061523688236808746	0.05899254514830128	0.11248607553705585	0.1733685518925168	0.26763284641218676	0.16003579257963071	0.07622205194119822	0.16644791287270855	0.0919674951166162	0.07547519073417432	0.14262190411887182	0.14640640533949031	0.10080089047432204	0.04511053400320535	0.038317505537855866	0.028230643579348246	0.02961594456339282	0.10967323909369726	0.06193188819481505	0.12574612906601748	0.1535432197614636	0.07395662164820596	0.04836043292748882	0.07934488817785808	0.06097380381049192	0.0	0.06668648723529916	0.04637275648417299	0.06025083016413054	0.04930903253012618	0.04559947771238716	0.13897316065340962
G3-422	0.0229970989793021	0.10206190108267622	0.12175970225294022	0.231446099557395	0.2859787720080808	0.18860353168231922	0.1282055644101374	0.2245552761443608	0.144430116942455	0.10611272754057624	0.1867218128339508	0.18817905943690919	0.03749477639304775	0.02598013656742132	0.04612132758236219	0.07297489711281006	0.06268848470469791	0.15431536094063558	0.006999185752186255	0.15093105031174153	0.17772705676861192	0.045070680314822587	0.07402575494180284	0.12668039525945385	0.0065569354974629535	0.06668648723529916	0.0	0.0878435165758137	0.10593308043751642	0.03300135617154275	0.036416939233941015	0.1628420286709112
G3-423	0.08466223712868412	0.05688852372109635	0.1408549534869719	0.18170675871924738	0.28399210704990974	0.15696359366139848	0.08120900479519273	0.17413869447539435	0.09469077600207096	0.06999889922697804	0.1406848862633493	0.14425727878872494	0.11961501509342155	0.06947483441987871	0.0666708394924755	0.04040740204174369	0.050386478452382394	0.10826095799772499	0.08382936250327774	0.12190027027270522	0.14990567295451074	0.09280123507966527	0.04736126488831565	0.07847365368168678	0.08290956756129003	0.04637275648417299	0.0878435165758137	0.0	0.05611619168828276	0.07457718866297337	0.07212086623142563	0.1582748844214384
