	G2-1100	G2-1101	G2-1102	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-199	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330
G2-1113	0.39343350027824153	0.3350027824151363	0.4367000556483027	0.005425709515859766	0.0037562604340567614	0.023511407902058988	0.003060656649972176	0.011407902058987202	0.020589872008903727	0.007373400111296605	0.0	0.33402893711741793	0.022815804117974403	0.2239844184752365	0.028797996661101836	0.24290484140233723	0.07832498608792432	0.09084585420144685	0.010294936004451864	0.04201446855870896	0.057317751808569836	0.07540345019476906	0.2654424040066778	0.4526989426822482	0.890929326655537	0.4716193656093489	0.8821647189760712	0.7961880912632164	0.8779910962715637	0.3436282693377852
G2-199	0.2149415692821369	0.042292710072342796	0.16430161380077907	0.3377851975514747	0.33667223149693937	0.31065664997217585	0.33667223149693937	0.34501947690595436	0.3542014468558709	0.32693377851975514	0.33402893711741793	0.0	0.3479410127991096	0.1823873121869783	0.30578742348358373	0.18224819143016138	0.31552587646076796	0.28213689482470783	0.34307178631051755	0.2925709515859766	0.27726766833611577	0.2593210907067334	0.23887033945464664	0.3465498052309405	0.7691986644407346	0.3682526432943795	0.7589037284362827	0.6740400667779632	0.7515303283249861	0.246661101836394
G2-313	0.4102671118530885	0.35141903171953254	0.4535336672231497	0.019894268224819142	0.020589872008903727	0.04521424596549805	0.020589872008903727	0.013494713411240956	0.014329437952142459	0.029910962715637174	0.022815804117974403	0.3479410127991096	0.0	0.24067890929326655	0.044657762938230386	0.2597384529771842	0.08778519755147468	0.10837506956037841	0.014190317195325543	0.0644129104062326	0.07971619365609349	0.09821925431274346	0.281858653311074	0.4692543127434613	0.902615470228158	0.4941569282136895	0.8935726210350584	0.8078742348358375	0.8896772398441848	0.36032276015581527
G2-314	0.1897607122982749	0.14120756816917085	0.21299387868670006	0.22899276572064553	0.22746243739565944	0.201307735114079	0.22676683361157485	0.23511407902058987	0.2442960489705064	0.21702838063439064	0.2239844184752365	0.1823873121869783	0.24067890929326655	0.0	0.19727323316638842	0.019198664440734557	0.17250973845297718	0.13912075681691707	0.23386199220923762	0.1832220367278798	0.167779632721202	0.14955481357818587	0.1734835837506956	0.3099610461880913	0.7324707846410684	0.3290205898720089	0.7221758486366165	0.6373121869782972	0.7148024485253199	0.21382860322760155
G2-315	0.3665831942125765	0.30745687256538673	0.40984974958263776	0.03241513633834168	0.03144129104062326	0.008208124652198109	0.03144129104062326	0.039788536449638284	0.04897050639955482	0.021702838063439065	0.028797996661101836	0.30578742348358373	0.044657762938230386	0.19727323316638842	0.0	0.21605453533667224	0.07220367278797997	0.06496939343350028	0.037840845854201444	0.021841958820255983	0.037423483583750694	0.05578742348358375	0.24471341124095716	0.43280467445742904	0.8651919866444073	0.45255982192543126	0.8564273789649416	0.7704507512520868	0.8522537562604341	0.3178909293266555
G2-316	0.17139677239844184	0.1407902058987201	0.19393433500278243	0.24777406789092932	0.24610461880912632	0.21994991652754592	0.24568725653867557	0.2540345019476906	0.26279910962715636	0.2360879243183083	0.24290484140233723	0.18224819143016138	0.2597384529771842	0.019198664440734557	0.21605453533667224	0.0	0.19031719532554256	0.1570673344462994	0.2523650528658876	0.20172509738452976	0.1865609348914858	0.16791875347801893	0.17417918753478018	0.29271007234279356	0.7150806900389538	0.31149137451307735	0.7047857540345019	0.6199220923761826	0.6974123539232053	0.21382860322760155
G2-317	0.3615748469671675	0.2931274346132443	0.36672231496939345	0.07860322760155815	0.07888146911519199	0.07776850306065665	0.07874234835837507	0.08124652198107958	0.09001112966054535	0.07860322760155815	0.07832498608792432	0.31552587646076796	0.08778519755147468	0.17250973845297718	0.07220367278797997	0.19031719532554256	0.0	0.0333889816360601	0.07957707289927657	0.07860322760155815	0.07860322760155815	0.08361157484696717	0.2744852531997774	0.4617417918753478	0.884112409571508	0.4805230940456316	0.8738174735670562	0.7889538119087368	0.8663049526989427	0.2744852531997774
G2-318	0.3283249860879243	0.2597384529771842	0.3459933222036728	0.09557595993322204	0.09404563160823595	0.06789092932665554	0.0936282693377852	0.1018363939899833	0.110740122426266	0.083889816360601	0.09084585420144685	0.28213689482470783	0.10837506956037841	0.13912075681691707	0.06496939343350028	0.1570673344462994	0.0333889816360601	0.0	0.1001669449081803	0.0659432387312187	0.0659432387312187	0.06622148024485253	0.2410962715637173	0.42835281023928773	0.8508625486922649	0.44727323316638845	0.840567612687813	0.7557039510294936	0.8331942125765164	0.25375626043405675
G2-319	0.4030328324986088	0.3437673900946021	0.4461602671118531	0.006399554813578186	0.0077907623817473565	0.033249860879243184	0.0077907623817473565	0.0023650528658875902	0.011407902058987202	0.016833611574846967	0.010294936004451864	0.34307178631051755	0.014190317195325543	0.23386199220923762	0.037840845854201444	0.2523650528658876	0.07957707289927657	0.1001669449081803	0.0	0.05063995548135782	0.06622148024485253	0.08458542014468559	0.2747634947134112	0.46243739565943237	0.9012242626599889	0.48149693934335003	0.892459654980523	0.8064830272676683	0.8882860322760155	0.35392320534223703
G2-320	0.35239287701725097	0.2932665553700612	0.3955203116304953	0.046048970506399556	0.04493600445186422	0.019755147468002224	0.044657762938230386	0.05286588759042849	0.0619087367835281	0.034641068447412354	0.04201446855870896	0.2925709515859766	0.0644129104062326	0.1832220367278798	0.021841958820255983	0.20172509738452976	0.07860322760155815	0.0659432387312187	0.05063995548135782	0.0	0.01572064552031163	0.03394546466332777	0.22426265998887035	0.41179744017807457	0.8505843071786311	0.4308569838619922	0.8418196994991652	0.7558430717863105	0.8376460767946577	0.30328324986087923
