	G1-11	G1-110	G1-12	G1-130	G1-157	G1-158	G1-159	G1-19	G1-193	G2-194	G2-41	G3-42	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46
G2-41	0.04230608711306798	0.0186400924337733	0.10715849518170417	0.27012117750845094	0.08480344436250495	0.072357259099478	0.0049472547419183955	0.06627714661855273	0.08338820558081717	0.020314798761215964	0.0	0.007104700813572282	0.07089716114345411	0.04343140356542393	0.06447773471617706	0.058474652457814455	0.12416377661510675	0.019025837043763736	0.06622888763320768	0.006953286236682609	0.09312893592800624	0.080282807710618
G3-42	0.03944710954004701	0.022987833627216903	0.11004863322741512	0.2718627572743982	0.08824048714075067	0.0677672551703346	0.010137965089925267	0.07068140219719866	0.08549785205671573	0.014823617487630074	0.007104700813572282	0.0	0.0657940048702032	0.037837937647514926	0.05895050061870066	0.053031300187081576	0.11906062034185598	0.015475372657928569	0.059535488128062884	0.0014503892012266923	0.09018632593155218	0.07434158849549591
G3-425	0.04262932045732597	0.08810996813212259	0.17215685107310214	0.2487681687835603	0.1534453147025362	0.03668679940267019	0.07399678652357132	0.13467468336069083	0.14820813966589894	0.05356180770414088	0.07089716114345411	0.0657940048702032	0.0	0.0285315721301177	0.028877053275736548	0.02889587070671184	0.07983446150090022	0.05512714662034846	0.031127850531798496	0.06582915473844902	0.04944186397884444	0.039326633074516136
G3-426	0.025132734174525002	0.06015390090943429	0.14404302741981306	0.25718428369155183	0.12539975389674307	0.0495315866057835	0.04665427867283301	0.10748991151635008	0.11970219499223463	0.025858208155794125	0.04343140356542393	0.037837937647514926	0.0285315721301177	0.0	0.03698404190341579	0.0310884866052461	0.0964704226719961	0.027545997400169633	0.03884824187553381	0.037969044372154585	0.06656363232475414	0.05568190569057823
G3-427	0.060993164456976286	0.08114804120473491	0.16590279323223384	0.2755849813233223	0.14649654702630452	0.01367690008655882	0.067276690718663	0.12784654605174367	0.14184517956876627	0.049752787599898866	0.06447773471617706	0.05895050061870066	0.028877053275736548	0.03698404190341579	0.0	0.00694872438868767	0.06155185890588214	0.048363031734039476	0.0036262694967539475	0.05892549218577781	0.03384403050649647	0.019748187690998672
G3-428	0.05538644960021727	0.07493438423976609	0.16024492554537612	0.2753727235576599	0.14013549043552245	0.018487848146722406	0.06126012799689767	0.12184445776679707	0.13590554950652012	0.0441882358594236	0.058474652457814455	0.053031300187081576	0.02889587070671184	0.0310884866052461	0.00694872438868767	0.0	0.0676759153235887	0.04231520268412442	0.008728304179406808	0.052749527702486386	0.039763333926841476	0.02518748149663741
G3-429	0.12057521191877116	0.14137658360377534	0.22565730792744756	0.2832686981320006	0.206711930174189	0.05791665626300478	0.12728528255575897	0.18776491692356526	0.20186543867384465	0.10918361623983791	0.12416377661510675	0.11906062034185598	0.07983446150090022	0.0964704226719961	0.06155185890588214	0.0676759153235887	0.0	0.10839376209200119	0.06036586709788612	0.11914087533366229	0.03781747838155792	0.04616709299451875
G3-43	0.0420904776185174	0.03379513890930862	0.12469606441366257	0.27422590583416984	0.10202240655030889	0.05430497384193437	0.019783543574784485	0.0817146688790987	0.10062484299854266	0.009562902402818133	0.019025837043763736	0.015475372657928569	0.05512714662034846	0.027545997400169633	0.048363031734039476	0.04231520268412442	0.10839376209200119	0.0	0.049846618491542094	0.01433384459069647	0.07695101367867939	0.06351066016640516
G3-430	0.06333391439763834	0.08174842227831575	0.1678639138610122	0.27758333660608164	0.1469260144524199	0.010758109848287714	0.06880991080731749	0.12903830026726396	0.14254266513068975	0.052123168171083784	0.06622888763320768	0.059535488128062884	0.031127850531798496	0.03884824187553381	0.0036262694967539475	0.008728304179406808	0.06036586709788612	0.049846618491542094	0.0	0.05979313798602121	0.03316636848984524	0.01744340802956561
G3-44	0.039988452591801026	0.022964328276959163	0.1112948700693703	0.27247880686266907	0.08884584001221377	0.06674157103928033	0.009924184256758327	0.07083914021318992	0.08667548593602274	0.014861965567882574	0.006953286236682609	0.0014503892012266923	0.06582915473844902	0.037969044372154585	0.05892549218577781	0.052749527702486386	0.11914087533366229	0.01433384459069647	0.05979313798602121	0.0	0.08892956586127117	0.07373484398963173
