	G1-139	G1-140	G1-141	G1-142	G1-143	G1-144	G1-187	G1-188	G1-189	G1-190	G1-192	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-220	G2-221	G2-222	G2-223	G2-224
G1-192	0.3287561553052369	0.3706938028603977	0.34720619213596543	0.36292902101760655	0.3449664669021627	0.36292902101760655	0.3128172670219027	0.3947528180629324	0.2330002780693024	0.6449949033768017	0.0	0.2472147315745639	0.2974973095879468	0.1840691136956259	0.18368788572757624	0.2691689839883846	0.21966743174592318	0.35736591868921574	0.1945733548171179	0.29695143847187466	0.20467674820625895	0.44948119129406816	0.30846623959086095
G2-213	0.17631787714653274	0.29276582018486885	0.12011580288881128	0.2956849684977844	0.12987618982899699	0.2956849684977844	0.24076319423142106	0.35474315228381703	0.14384710755111982	0.6545230021970899	0.2472147315745639	0.0	0.21053882265206333	0.09794605805301018	0.09771583434819849	0.2993379479282124	0.18843599320770438	0.2842508704080718	0.0969213581937326	0.2491307914287122	0.10815624695630767	0.3957759232841363	0.22313097680555682
G2-214	0.06675886636621173	0.11172553214191544	0.10276695508355121	0.10785349335575359	0.1090515046803152	0.10785349335575359	0.2913736159871794	0.22365582497933947	0.19219872535140006	0.7052191435773421	0.2974973095879468	0.21053882265206333	0.0	0.1403276951285059	0.1445241358317598	0.1383283282753334	0.30726571928860497	0.11895774405485962	0.1432752726322359	0.29897919302976134	0.15558533185831047	0.2824514927797789	0.022693294248145923
G2-215	0.19088917528238022	0.23567602732310486	0.21806186094182145	0.21920962954607276	0.2103546164528701	0.21920962954607276	0.1885137721492617	0.3129646390723246	0.0760039627511563	0.663058675914524	0.1840691136956259	0.09794605805301018	0.1403276951285059	0.0	0.004921952598358665	0.24546142620004388	0.19549088407860707	0.23134548014564663	0.021089396591122207	0.19899977293542545	0.03339945581719679	0.35983566744569584	0.15901634872145193
G2-216	0.1904362389659444	0.2350945537069677	0.2175650344041338	0.22305264273870187	0.21389664570901742	0.22305264273870187	0.188119731576793	0.3123375038831499	0.0758166467439078	0.6625020236806466	0.18368788572757624	0.09771583434819849	0.1445241358317598	0.004921952598358665	0.0	0.24869615186259297	0.19509236692960458	0.2308236287787774	0.021024691048536454	0.19859607311201238	0.03330510515846441	0.35916529853882406	0.15861724642844288
G2-217	0.18865628291645872	0.23302219576776523	0.2157308607074459	0.23126262819653082	0.22147404383611557	0.23126262819653082	0.3649052228999482	0.2846534427874836	0.2856313499022339	0.7107400631679442	0.2691689839883846	0.2993379479282124	0.1383283282753334	0.24546142620004388	0.24869615186259297	0.0	0.22085548215546016	0.2289475169452865	0.2468580294459935	0.3474699860437296	0.2576797344429388	0.3571377685200612	0.15689749358913738
G2-218	0.337679984339971	0.3793700510110521	0.29101593803642534	0.37184702934617414	0.2883545158263882	0.37184702934617414	0.3210408154481213	0.4019044637835907	0.2431512580351447	0.6647897495313922	0.21966743174592318	0.18843599320770438	0.30726571928860497	0.19549088407860707	0.19509236692960458	0.22085548215546016	0.0	0.36559639746818984	0.20567777659544906	0.30527262052355486	0.21564187444196506	0.45553236934332386	0.3180440502830258
G2-219	0.1499351976011663	0.19891625288592235	0.19622110467642592	0.21479475686256091	0.20621501858876035	0.21479475686256091	0.3273499295325125	0.2747193394124669	0.25509876228340106	0.7129197404686104	0.35736591868921574	0.2842508704080718	0.11895774405485962	0.23134548014564663	0.2308236287787774	0.2289475169452865	0.36559639746818984	0.0	0.21730412450669148	0.3490232616983316	0.21670390649541416	0.32574959981382784	0.109899936415062
G2-220	0.17072281602590125	0.21458663073198264	0.21588638505910793	0.23567602732310486	0.22555326207803358	0.23567602732310486	0.17076006500026863	0.2957420511156412	0.06490948380759684	0.6580365358581212	0.1945733548171179	0.0969213581937326	0.1432752726322359	0.021089396591122207	0.021024691048536454	0.2468580294459935	0.20567777659544906	0.21730412450669148	0.0	0.18174323142967577	0.01231005922607458	0.34782276456491334	0.1482878815699099
G2-221	0.3159974267966785	0.3573301944708213	0.34804485210387237	0.374586735976571	0.35608242486944974	0.374586735976571	0.30138635717174816	0.11435641322368392	0.22735500149352592	0.5815255226554996	0.29695143847187466	0.2491307914287122	0.29897919302976134	0.19899977293542545	0.19859607311201238	0.3474699860437296	0.30527262052355486	0.3490232616983316	0.18174323142967577	0.0	0.19181602071291287	0.4419154747651661	0.3030807942212092
G2-222	0.17828553270134592	0.22689668995805723	0.227121273821683	0.24798608654917942	0.23678815084060864	0.24798608654917942	0.1699189896804587	0.29567299265812225	0.06322930013840235	0.6611627955483139	0.20467674820625895	0.10815624695630767	0.15558533185831047	0.03339945581719679	0.03330510515846441	0.2576797344429388	0.21564187444196506	0.21670390649541416	0.01231005922607458	0.19181602071291287	0.0	0.3480477016568316	0.1376725799569114
G2-223	0.30171058566021275	0.34717030525988135	0.3342213992408064	0.360504168474477	0.34249946433977035	0.360504168474477	0.4315857705518346	0.38817962941477147	0.37484657880044614	0.6804091827239265	0.44948119129406816	0.3957759232841363	0.2824514927797789	0.35983566744569584	0.35916529853882406	0.3571377685200612	0.45553236934332386	0.32574959981382784	0.34782276456491334	0.4419154747651661	0.3480477016568316	0.0	0.27609549740540856
G2-224	0.0671334279113956	0.11748946971437552	0.11761620000430259	0.12963586711302855	0.12865272538549505	0.12963586711302855	0.28509444453472277	0.2163821342975038	0.19283592137868946	0.7080425124587336	0.30846623959086095	0.22313097680555682	0.022693294248145923	0.15901634872145193	0.15861724642844288	0.15689749358913738	0.3180440502830258	0.109899936415062	0.1482878815699099	0.3030807942212092	0.1376725799569114	0.27609549740540856	0.0
