	G2-1100	G2-1101	G2-1102	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-199	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324
G2-313	0.14418977261540875	0.12578276230197935	0.16167890638218846	0.004444786728897025	0.005651441975693389	0.012971936620941408	0.003285169730152857	0.0011573088171551134	0.002931637245487821	0.006937394498272797	0.005856475651457317	0.12146631316389929	0.0	0.08351606988867548	0.017121819804915915	0.09432529609725337	0.03245916274130719	0.03626633670081421	0.0028516156851319113	0.020089998467008575	0.027606153199238367	0.029823708639411247	0.04453074365018205	0.12358456297694133
G2-314	0.06098718194776559	0.042668652536309845	0.0783253242955352	0.07942616085381818	0.0779742366871229	0.0708714968590161	0.08035352038413429	0.0824983839316509	0.08595855583279291	0.07666645328652243	0.07775543180310626	0.03876658353848754	0.08351606988867548	0.0	0.06641332020547269	0.010983131488534803	0.05137213013485163	0.0474392384135643	0.08074705220752249	0.06350866942564583	0.055973444571702904	0.05380292969716272	0.043558251515925024	0.041023712055539514
G2-315	0.12706795281049282	0.10881523776328196	0.14457615669898566	0.013040145596653759	0.011610326951525567	0.004508514489556826	0.014011462874229181	0.01610413384789134	0.01961742569180824	0.0103253231455376	0.011400330382121264	0.10469126711043195	0.017121819804915915	0.06641332020547269	0.0	0.07720347629233743	0.015375484221831997	0.019163587178991498	0.014337441477731572	0.003014053171072461	0.010642935996595866	0.01274776334347513	0.027855375232733744	0.10657354923508984
G2-316	0.05010424192259123	0.03177172465635771	0.06747413530359722	0.09024083978222984	0.088789570156762	0.08168402590945309	0.0911758074333274	0.09330761014022877	0.09677991551306556	0.08750085687787465	0.08858983539445853	0.02787058302745586	0.09432529609725337	0.010983131488534803	0.07720347629233743	0.0	0.06223134810942173	0.05828633984597514	0.09153628092546677	0.07429789814359007	0.06678174341136031	0.0645940712888356	0.05311465761591964	0.030142200230613328
G2-317	0.1122280316692383	0.09392576746613486	0.1293741688275875	0.028395496324421742	0.02690890253394554	0.019803298184684192	0.02928818602644957	0.03143403716837656	0.0348922940060208	0.025601119241859246	0.026691085340332737	0.09002749073679601	0.03245916274130719	0.05137213013485163	0.015375484221831997	0.06223134810942173	0.0	0.004043714439317476	0.029700848267992384	0.012462466926015546	0.004908172576402905	0.0027586408809438484	0.013281341567281791	0.09193004728625434
G2-318	0.10825272645514222	0.08999574082944115	0.12560308240545534	0.032193510891597776	0.030691886500581148	0.023591461819756056	0.03303387627265901	0.03524121112788358	0.038637984352397174	0.029384103099980668	0.03049825899933891	0.0860945990155087	0.03626633670081421	0.0474392384135643	0.019163587178991498	0.05828633984597514	0.004043714439317476	0.0	0.033488952034834686	0.016250569883175046	0.008715345655275536	0.006546743838103352	0.009389099508462981	0.08803268566095172
G2-319	0.14140168481254262	0.12307345454654392	0.1589117434388764	0.0016476784059911544	0.0028090893067889643	0.010135062590979151	0.0004569305000167184	0.001773780810203764	0.005354572063944036	0.004105776303774464	0.003088825750822759	0.11895412073829616	0.0028516156851319113	0.08074705220752249	0.014337441477731572	0.09153628092546677	0.029700848267992384	0.033488952034834686	0.0	0.017238382781876664	0.024829971682466385	0.026972092954279332	0.042047047763206516	0.12083980961542998
G2-320	0.12416330203066595	0.10587236568960094	0.1416733606569997	0.015942941638639754	0.014553199022424178	0.007461491373805258	0.0169540044365906	0.019012163592080425	0.022555660920887025	0.013264485743536829	0.014346250908844883	0.10175303188135314	0.020089998467008575	0.06350866942564583	0.003014053171072461	0.07429789814359007	0.012462466926015546	0.016250569883175046	0.017238382781876664	0.0	0.007628882825523402	0.009733710172402668	0.024845958906263527	0.1036014268335533
G2-321	0.11664714729843616	0.09828162310750378	0.1341381358030568	0.023497236614295796	0.022182081847947583	0.015090374199328661	0.024563817140400873	0.026528318324310216	0.03016547362469729	0.0208742984473471	0.021936993490942032	0.09416228929925602	0.027606153199238367	0.055973444571702904	0.010642935996595866	0.06678174341136031	0.004908172576402905	0.008715345655275536	0.024829971682466385	0.007628882825523402	0.0	0.0022175554401728855	0.017217076080740124	0.0960471318578973
G2-322	0.11445947517591144	0.09616853883484645	0.1319695338022452	0.025676651811042416	0.024286909194826848	0.01719520154620793	0.026687714608993263	0.0287458737644831	0.0322893710932897	0.022998195915939493	0.024079961081247558	0.09204920502659865	0.029823708639411247	0.05380292969716272	0.01274776334347513	0.0645940712888356	0.0027586408809438484	0.006546743838103352	0.026972092954279332	0.009733710172402668	0.0022175554401728855	0.0	0.015142132051509034	0.09389759997879883
