	G1-115	G1-116	G1-13	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-161	G1-162	G1-177	G1-178	G2-410	G2-411	G2-412	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-47	G3-48	G3-49
G1-161	0.5060702875399361	0.2645367412140575	0.9003194888178914	0.6543130990415336	0.9111821086261981	0.7456869009584665	0.44920127795527154	0.797444089456869	0.6562300319488817	0.7322683706070288	0.0	0.030031948881789138	0.7738019169329073	0.5993610223642173	0.5846645367412141	0.4293929712460064	0.49776357827476037	0.8038338658146965	0.7060702875399361	0.8217252396166134	0.9476038338658147	0.802555910543131	0.6517571884984026	0.7329073482428115	0.6536741214057508	0.6146964856230032	0.6613418530351438	0.7118210862619808	0.7578274760383387	0.4773162939297125	0.51629392971246	0.7226837060702875
G1-162	0.5124600638977636	0.26773162939297124	0.9073482428115016	0.6779552715654952	0.9182108626198083	0.7680511182108626	0.45559105431309904	0.8204472843450479	0.678594249201278	0.739297124600639	0.030031948881789138	0.0	0.7801916932907348	0.6038338658146964	0.6057507987220447	0.4504792332268371	0.5201277955271566	0.8249201277955271	0.7284345047923323	0.8287539936102236	0.954632587859425	0.8070287539936102	0.6549520766773163	0.7571884984025559	0.6587859424920128	0.6402555910543131	0.665814696485623	0.7373801916932907	0.7808306709265176	0.4849840255591054	0.5380191693290735	0.7322683706070288
G1-177	0.7725239616613419	0.7757188498402556	0.4549520766773163	0.7648562300319489	0.8952076677316294	0.7527156549520767	0.5942492012779552	0.8543130990415335	0.5322683706070288	0.3961661341853035	0.7738019169329073	0.7801916932907348	0.0	0.197444089456869	0.7821086261980831	0.7501597444089457	0.746964856230032	0.6715654952076677	0.24728434504792332	0.5482428115015975	0.7009584664536741	0.22555910543130991	0.3603833865814696	0.5175718849840255	0.1769968051118211	0.2952076677316294	0.17763578274760383	0.3539936102236422	0.4715654952076677	0.7297124600638978	0.736741214057508	0.8300319488817891
G1-178	0.6824281150159744	0.602555910543131	0.4830670926517572	0.7405750798722045	0.8977635782747604	0.7565495207667732	0.41980830670926517	0.8568690095846645	0.5073482428115016	0.3987220447284345	0.5993610223642173	0.6038338658146964	0.197444089456869	0.0	0.7827476038338658	0.6166134185303515	0.6817891373801916	0.6715654952076677	0.3405750798722045	0.5507987220447285	0.6881789137380192	0.4057507987220447	0.27284345047923325	0.5207667731629393	0.2805111821086262	0.2549520766773163	0.2913738019169329	0.3782747603833866	0.4779552715654952	0.6198083067092651	0.6869009584664537	0.8415335463258786
G2-410	0.32012779552715653	0.34760383386581467	0.8990415335463259	0.5597444089456869	0.9092651757188498	0.6990415335463259	0.7731629392971247	0.6568690095846645	0.5610223642172524	0.7405750798722045	0.5846645367412141	0.6057507987220447	0.7821086261980831	0.7827476038338658	0.0	0.16996805111821087	0.11629392971246007	0.6492012779552716	0.6849840255591054	0.8127795527156549	0.9354632587859425	0.8108626198083068	0.7616613418530351	0.5872204472843451	0.7424920127795527	0.6115015974440895	0.7354632587859425	0.6696485623003194	0.5987220447284345	0.23386581469648562	0.18274760383386582	0.5329073482428115
G2-411	0.23322683706070288	0.19233226837060702	0.8990415335463259	0.5840255591054313	0.9092651757188498	0.6990415335463259	0.6178913738019169	0.7271565495207668	0.5859424920127796	0.7092651757188498	0.4293929712460064	0.4504792332268371	0.7501597444089457	0.6166134185303515	0.16996805111821087	0.0	0.07156549520766774	0.7194888178913738	0.6715654952076677	0.8038338658146965	0.923961661341853	0.8083067092651757	0.6517571884984026	0.6549520766773163	0.645367412140575	0.5194888178913738	0.6498402555910543	0.6670926517571885	0.6651757188498403	0.13099041533546327	0.13099041533546327	0.5303514376996805
G2-412	0.23833865814696487	0.2613418530351438	0.8926517571884984	0.5552715654952076	0.9060702875399361	0.6926517571884984	0.681150159744409	0.6971246006389776	0.5559105431309904	0.7047923322683706	0.49776357827476037	0.5201277955271566	0.746964856230032	0.6817891373801916	0.11629392971246007	0.07156549520766774	0.0	0.6907348242811502	0.6670926517571885	0.7987220447284346	0.9194888178913738	0.8031948881789137	0.6702875399361022	0.6261980830670927	0.6504792332268371	0.5150159744408945	0.6434504792332268	0.6619808306709265	0.6351437699680511	0.14824281150159743	0.11054313099041534	0.5303514376996805
G2-413	0.8434504792332268	0.8281150159744409	0.6805111821086262	0.48434504792332267	0.8523961661341853	0.6677316293929713	0.6728434504792332	0.38338658146964855	0.29968051118210864	0.6293929712460063	0.8038338658146965	0.8249201277955271	0.6715654952076677	0.6715654952076677	0.6492012779552716	0.7194888178913738	0.6907348242811502	0.0	0.51629392971246	0.6543130990415336	0.8613418530351438	0.6645367412140575	0.6306709265175718	0.16293929712460065	0.6159744408945687	0.5003194888178913	0.6210862619808307	0.5405750798722044	0.27284345047923325	0.823003194888179	0.74185303514377	0.8792332268370607
G2-414	0.7424920127795527	0.726517571884984	0.40319488817891375	0.6479233226837061	0.8543130990415335	0.6332268370607029	0.48690095846645365	0.7258785942492013	0.405111821086262	0.39105431309904154	0.7060702875399361	0.7284345047923323	0.24728434504792332	0.3405750798722045	0.6849840255591054	0.6715654952076677	0.6670926517571885	0.51629392971246	0.0	0.5412140575079872	0.8134185303514377	0.2939297124600639	0.3194888178913738	0.4230031948881789	0.2364217252396166	0.23067092651757187	0.2402555910543131	0.2715654952076677	0.38466453674121404	0.6907348242811502	0.6587859424920128	0.8332268370607029
G2-415	0.8223642172523962	0.8261980830670926	0.5591054313099042	0.7693290734824281	0.8472843450479233	0.2134185303514377	0.5514376996805112	0.7738019169329073	0.47987220447284346	0.26070287539936104	0.8217252396166134	0.8287539936102236	0.5482428115015975	0.5507987220447285	0.8127795527156549	0.8038338658146965	0.7987220447284346	0.6543130990415336	0.5412140575079872	0.0	0.30862619808306707	0.36996805111821085	0.36421725239616615	0.5667731629392971	0.5559105431309904	0.5437699680511182	0.5648562300319488	0.5488817891373802	0.5111821086261981	0.794888178913738	0.8057507987220447	0.8178913738019169
