	G2-1100	G2-1101	G2-1102	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-199	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324
G2-1113	0.384251530328325	0.3311074012242627	0.43030050083472454	0.005425709515859766	0.001530328324986088	0.02003338898163606	0.008069003895381191	0.013772954924874792	0.023928770172509738	0.0037562604340567614	0.0	0.32136894824707846	0.022954924874791317	0.21549805230940455	0.03199777406789093	0.24582637729549248	0.08347245409015025	0.08444629938786867	0.009460211463550361	0.04062326099053979	0.06176961602671119	0.06775180856983862	0.2703116304952699	0.44629938786867
G2-199	0.2125765164162493	0.04340567612687813	0.169449081803005	0.3254034501947691	0.32192543127434614	0.30189204229271005	0.32874234835837507	0.33375069560378406	0.3446021146355036	0.31858653311074014	0.32136894824707846	0.0	0.3344462993878687	0.17529215358931552	0.28937117417918756	0.17779632721202004	0.30745687256538673	0.2783806343906511	0.32957707289927657	0.2817195325542571	0.2605731775180857	0.2547301057317752	0.22509738452977185	0.3451585976627713
G2-313	0.4006677796327212	0.3468280467445743	0.44657762938230383	0.019337785197551475	0.023233166388425153	0.04187534780189204	0.015998887033945464	0.011964385086254869	0.013912075681691708	0.026432943795214246	0.022954924874791317	0.3344462993878687	0.0	0.23191430161380078	0.047996661101836396	0.26224262659988873	0.0904284919309961	0.10141903171953255	0.015025041736227046	0.06302170283806344	0.083889816360601	0.09015025041736227	0.2882582081246522	0.4656371730662215
G2-314	0.1921257651641625	0.14148580968280466	0.2156371730662215	0.22008903728436283	0.21605453533667224	0.19616026711185308	0.22259321090706732	0.2287145242070117	0.23831385642737896	0.21229827490261546	0.21549805230940455	0.17529215358931552	0.23191430161380078	0.0	0.18405676126878132	0.03589315525876461	0.16652754590984975	0.13745130773511408	0.2239844184752365	0.1759877573734001	0.15498052309404564	0.14899833055091818	0.17807456872565386	0.3132999443516973
G2-315	0.3526711185308848	0.29938786867000555	0.39872008903728434	0.036449638286032274	0.0325542570951586	0.012520868113522538	0.039371174179187535	0.0447968836950473	0.05523094045631608	0.02921535893155259	0.03199777406789093	0.28937117417918756	0.047996661101836396	0.18405676126878132	0.0	0.2142459654980523	0.07707289927657207	0.05856983861992209	0.04048414023372287	0.016138007790762382	0.037562604340567615	0.043266555370061216	0.24638286032276016	0.4225097384529772
G2-316	0.15901502504173623	0.14385086254869225	0.18572621035058431	0.2502782415136338	0.24624373956594323	0.2262103505843072	0.25278241513633837	0.2590428491930996	0.26836393989983304	0.2426265998887034	0.24582637729549248	0.17779632721202004	0.26224262659988873	0.03589315525876461	0.2142459654980523	0.0	0.199638286032276	0.17042292710072343	0.2540345019476906	0.2060378408458542	0.18516972732331663	0.1790484140233723	0.1784919309961046	0.27824151363383415
G2-317	0.35823594880356147	0.29201446855870894	0.35767946577629384	0.08430717863105175	0.08430717863105175	0.08319421257651642	0.08402893711741792	0.08667223149693934	0.09627156371730662	0.08416805787423484	0.08347245409015025	0.30745687256538673	0.0904284919309961	0.16652754590984975	0.07707289927657207	0.199638286032276	0.0	0.02963272120200334	0.08430717863105175	0.08430717863105175	0.08402893711741792	0.08430717863105175	0.28144129104062326	0.45728992765720644
G2-318	0.328881469115192	0.2629382303839733	0.3469671675013912	0.08903728436282693	0.08500278241513634	0.06496939343350028	0.09140233722871452	0.09766277128547579	0.10698386199220923	0.08124652198107958	0.08444629938786867	0.2783806343906511	0.10141903171953255	0.13745130773511408	0.05856983861992209	0.17042292710072343	0.02963272120200334	0.0	0.09279354479688369	0.06580411797440178	0.06566499721758487	0.06580411797440178	0.2525041736227045	0.42835281023928773
G2-319	0.39259877573734003	0.33889816360601	0.4389259877573734	0.0047301057317751805	0.008903728436282694	0.028658875904284918	0.001669449081803005	0.0052865887590428495	0.015025041736227046	0.011686143572621035	0.009460211463550361	0.32957707289927657	0.015025041736227046	0.2239844184752365	0.04048414023372287	0.2540345019476906	0.08430717863105175	0.09279354479688369	0.0	0.047996661101836396	0.06928213689482471	0.07512520868113523	0.27879799666110183	0.4552031163049527
G2-320	0.3446021146355036	0.29104062326099056	0.390929326655537	0.04424040066777963	0.04062326099053979	0.0219810795770729	0.04757929883138564	0.05328324986087924	0.06288258208124652	0.037006121313299944	0.04062326099053979	0.2817195325542571	0.06302170283806344	0.1759877573734001	0.016138007790762382	0.2060378408458542	0.08430717863105175	0.06580411797440178	0.047996661101836396	0.0	0.02142459654980523	0.02712854757929883	0.23094045631608237	0.4072064552031163
G2-321	0.3237340011129661	0.26989426822481916	0.3699220923761825	0.06538675570395103	0.06204785754034502	0.04340567612687813	0.06886477462437396	0.07415136338341681	0.08416805787423484	0.058291597106288257	0.06176961602671119	0.2605731775180857	0.083889816360601	0.15498052309404564	0.037562604340567615	0.18516972732331663	0.08402893711741792	0.06566499721758487	0.06928213689482471	0.02142459654980523	0.0	0.006260434056761269	0.20951585976627712	0.3860601001669449
G2-322	0.3176126878130217	0.2640511964385086	0.3639398998330551	0.07136894824707847	0.06775180856983862	0.04910962715637173	0.07470784641068448	0.08041179744017807	0.09001112966054535	0.06413466889259878	0.06775180856983862	0.2547301057317752	0.09015025041736227	0.14899833055091818	0.043266555370061216	0.1790484140233723	0.08430717863105175	0.06580411797440178	0.07512520868113523	0.02712854757929883	0.006260434056761269	0.0	0.20395102949360044	0.38021702838063437
G2-323	0.2914579855314413	0.2376182526432944	0.33736783528102393	0.27462437395659434	0.2708681135225376	0.2523650528658876	0.27810239287701727	0.28297161936560933	0.29368391764051194	0.2676683361157485	0.2703116304952699	0.22509738452977185	0.2882582081246522	0.17807456872565386	0.24638286032276016	0.1784919309961046	0.28144129104062326	0.2525041736227045	0.27879799666110183	0.23094045631608237	0.20951585976627712	0.20395102949360044	0.0	0.2256538675570395
G2-324	0.14691151919866444	0.3290205898720089	0.2632164718976071	0.4511686143572621	0.44671675013912077	0.4282136894824708	0.45395102949360044	0.4595158597662771	0.46953255425709517	0.44351697273233165	0.44629938786867	0.3451585976627713	0.4656371730662215	0.3132999443516973	0.4225097384529772	0.27824151363383415	0.45728992765720644	0.42835281023928773	0.4552031163049527	0.4072064552031163	0.3860601001669449	0.38021702838063437	0.2256538675570395	0.0
