	G1-11	G1-110	G1-12	G1-130	G1-157	G1-158	G1-159	G1-19	G1-193	G2-194	G2-41	G3-42	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46
G2-41	0.38112473726265567	0.2717747816211477	0.12236867322505537	0.14729052372702403	0.1672585671342032	0.128015260503963	0.2678480839304706	0.48230032250187027	0.2928862954383287	0.4515221602718608	0.0	0.10055646727011255	0.31000454767217783	0.12649161423842306	0.3467184982229772	0.17512008532611914	0.21310245434823613	0.24807267020593823	0.14180682049341614	0.09383354291519407	0.19221252902855818	0.32409149985595115
G3-42	0.319587519930021	0.26499544495605903	0.023595920153572307	0.049971616558764996	0.07062547851210296	0.11827720127498932	0.2609950957860296	0.4788833276921368	0.21777242973237856	0.40043541724608817	0.10055646727011255	0.0	0.24183540843384047	0.028449983014578205	0.28003649144176834	0.07991017729529605	0.12980629590092363	0.24113291650988938	0.04562527769476386	0.1877917438556179	0.20123225432205016	0.31825515117571945
G3-425	0.42906697797268395	0.4023639025923123	0.23379891142517542	0.2476334417441952	0.27149889120882387	0.3088512524646456	0.2368246346015044	0.5319363203064247	0.3594878355492301	0.3733910080381746	0.31000454767217783	0.24183540843384047	0.0	0.229878303515347	0.4016330792229565	0.27046175901103003	0.13062209151463416	0.38196720956006197	0.24186540259788153	0.3192556913334387	0.32836544316042676	0.32474416238853004
G3-426	0.30268048641592976	0.25971619783522065	0.005064862768805754	0.03189744742695652	0.06260615223511806	0.11066904907654944	0.25565801779190894	0.47623510152862486	0.2044553383386857	0.40071371803698125	0.12649161423842306	0.028449983014578205	0.229878303515347	0.0	0.2615526101765743	0.052428000324716395	0.11469572790258138	0.23572951133329906	0.01778385833387512	0.18134033587544074	0.21044221655345435	0.3137156337754822
G3-427	0.40390960000957876	0.3790043024149019	0.2654996819481337	0.2864104434626335	0.23836611911039707	0.27741729352915395	0.3761511265889688	0.538902219371678	0.33415755950074005	0.47739960489449257	0.3467184982229772	0.28003649144176834	0.4016330792229565	0.2615526101765743	0.0	0.2300963557038129	0.3301522018041484	0.3988771935466273	0.27336882153117426	0.3247772025429643	0.2968338902829947	0.3279275602070507
G3-428	0.27469696346064293	0.22593495777741338	0.05749286309352215	0.08432544775167292	0.010741296612700185	0.061463454778941586	0.22149684451797194	0.45954750455537574	0.1676180032125026	0.38004588993167904	0.17512008532611914	0.07991017729529605	0.27046175901103003	0.052428000324716395	0.2300963557038129	0.0	0.16134901230010731	0.25657056302981557	0.06967960057550823	0.1398268541291938	0.24882016688686318	0.2847792609719256
G3-429	0.36434483194046124	0.32626645662817566	0.11920271809339625	0.13459205012710837	0.162043229964048	0.20500769990573542	0.14841405968760518	0.5104486392613901	0.2768880145670478	0.31979381278066277	0.21310245434823613	0.12980629590092363	0.13062209151463416	0.11469572790258138	0.3301522018041484	0.16134901230010731	0.0	0.3038938044787059	0.12950117139611486	0.2619609439081524	0.27887695799337764	0.27358910997329033
G3-43	0.42813171093177005	0.3359988346441754	0.23252185080439808	0.2546867624601643	0.25019092605118454	0.21852347071101166	0.3154298481092528	0.51560754495828	0.35359578576747747	0.4957802802004443	0.24807267020593823	0.24113291650988938	0.38196720956006197	0.23572951133329906	0.3988771935466273	0.25657056302981557	0.3038938044787059	0.0	0.24845235701608512	0.27362374690162666	0.361064514175314	0.37977191791323356
G3-430	0.31353543071724865	0.2723462759484749	0.022797301744099434	0.03435630146440976	0.07975442213587541	0.12732937617609738	0.2683912834741953	0.48389330026433397	0.21773589534733773	0.40946758166784725	0.14180682049341614	0.04562527769476386	0.24186540259788153	0.01778385833387512	0.27336882153117426	0.06967960057550823	0.12950117139611486	0.24845235701608512	0.0	0.1960281351000227	0.22298133418256844	0.32500762481160017
G3-44	0.36146850574838285	0.2444051131406353	0.17750555420815448	0.20224105489675714	0.13127473277796106	0.0884794962191335	0.24017684927788296	0.4435074793953895	0.26710862436849125	0.4446608543234928	0.09383354291519407	0.1877917438556179	0.3192556913334387	0.18134033587544074	0.3247772025429643	0.1398268541291938	0.2619609439081524	0.27362374690162666	0.1960281351000227	0.0	0.21172904100738857	0.26370932961242016
G3-45	0.41659852076094744	0.3820035375413461	0.2072311093740131	0.2287081851981612	0.2426429704779008	0.28147485834322805	0.3791779179415767	0.5199137122948427	0.3433102405927913	0.4836482818775176	0.19221252902855818	0.20123225432205016	0.32836544316042676	0.21044221655345435	0.2968338902829947	0.24882016688686318	0.27887695799337764	0.361064514175314	0.22298133418256844	0.21172904100738857	0.0	0.22259338445709131
G3-46	0.44497066605473823	0.3585934735004622	0.31102277705758635	0.3317477714609851	0.27887649901439127	0.24963295963485768	0.25428399146405606	0.5063289548529492	0.37502804226396835	0.43995815884200973	0.32409149985595115	0.31825515117571945	0.32474416238853004	0.3137156337754822	0.3279275602070507	0.2847792609719256	0.27358910997329033	0.37977191791323356	0.32500762481160017	0.26370932961242016	0.22259338445709131	0.0
