	G2-1100	G2-1101	G2-1102	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-199	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330
G2-1113	0.1417601294501298	0.12161925805283823	0.15826013998240085	0.0018374478202491335	0.0012136328235518952	0.008286904011443268	0.0010886652805869675	0.004015690379565382	0.007217373451498422	0.0025255567903399133	0.0	0.12057454667242158	0.005946347294044527	0.08085507617395461	0.010135292250695163	0.08764854631489744	0.025526949652242267	0.032895477743633675	0.0034767738569611425	0.014941003585993744	0.020444900130187245	0.026962415420402435	0.038551248086985554	0.12287621549303922	0.22161113877155658	0.1657859144067016	0.23407451945135146	0.18551296537806033	0.21380765320727582	0.0840283977180522
G2-199	0.02355173404065614	0.001698727112321049	0.03879630938877999	0.1220182030608484	0.12170540743085145	0.11232493658591199	0.12162127925606822	0.12449657908040648	0.12773470975878062	0.11805144147752342	0.12057454667242158	0.0	0.12633580561156554	0.040040376831696346	0.11065703451244494	0.03324649889844452	0.09555033291649404	0.08802169543303137	0.1237885704178618	0.10563784941971048	0.10013395287551695	0.09365373151023548	0.08423211109258333	0.005526711997800002	0.1041964821776579	0.048527691396332985	0.1166463790908705	0.06809463139934636	0.09635131948252032	0.06598917494376075
G2-313	0.1476499628046429	0.1273972096325503	0.16414997333691395	0.004818360872058767	0.004888795158962194	0.014224340210122085	0.005137083715656127	0.0020074125833241603	0.001538390420461094	0.008397316234517078	0.005946347294044527	0.12633580561156554	0.0	0.0866824382207597	0.015909534354725474	0.09351320228663622	0.031393583279640945	0.03875917659707223	0.002630984624488722	0.02077546910523723	0.02627936564943072	0.03290876271444696	0.04430401902995179	0.12866628036093913	0.22743043696530432	0.17169412145175497	0.239889969402914	0.1913322635801553	0.2196269513926763	0.08988661340839595
G2-314	0.06117197974409162	0.040881605599852676	0.07749547540455698	0.08259191244306942	0.08203056875408025	0.07264638843763263	0.08190560121111533	0.08478922512409878	0.0880343093820268	0.07834408752121573	0.08085507617395461	0.040040376831696346	0.0866824382207597	0.0	0.07114582554146386	0.006840709438610703	0.05557603700616477	0.04804739952270228	0.08423123847978142	0.06604322355669642	0.06053848069401034	0.053972401255194785	0.04647721463626537	0.042893256052575546	0.14155090969027428	0.08586542626838112	0.15400080660348675	0.10544905891196261	0.13370574699513657	0.04115589236104388
G2-315	0.13207520988192084	0.11174274929347704	0.14857522041419188	0.011586941682734242	0.011268935111712747	0.0018856822253987139	0.01118488991893543	0.014057324658680056	0.017295455337054205	0.007612187055796997	0.010135292250695163	0.11065703451244494	0.015909534354725474	0.07114582554146386	0.0	0.07793844936391411	0.015801250923089736	0.02318814348230317	0.013349315996135386	0.005175722649580591	0.010699535633979792	0.01734631018372401	0.028640644652548702	0.11325809341766414	0.21201366943798325	0.15624608965131082	0.22447705012612534	0.17591549605283416	0.20418888376658922	0.07443092839282608
G2-316	0.054339880337519894	0.03408587292875968	0.07065754543818135	0.08938453626551963	0.08878589865159682	0.0794017183351492	0.08869907135205812	0.09161906182105485	0.09480685466341557	0.08517485158709225	0.08764854631489744	0.03324649889844452	0.09351320228663622	0.006840709438610703	0.07793844936391411	0.0	0.06233379049691237	0.054808088033653744	0.09102200756439079	0.07283399264130577	0.06736739002204595	0.06072587641487042	0.05251887136555534	0.036144957799190275	0.1347653175119553	0.0790789067211417	0.14721521442516783	0.09866346673364368	0.12692015481681762	0.04417042658584899
G2-317	0.11665289644652872	0.09638970713740491	0.13281733683208108	0.027253757944570713	0.026664301909642824	0.01728012234444729	0.026577474618451405	0.029488283390200504	0.03268525775451667	0.02304407361533639	0.025526949652242267	0.09555033291649404	0.031393583279640945	0.05557603700616477	0.015801250923089736	0.06233379049691237	0.0	0.007528637483462634	0.028891229133536433	0.010703215700434726	0.005236613536099779	0.0022085105892130754	0.013841119575759772	0.09816608698181346	0.1967956282248812	0.1411092174312852	0.20924552512974642	0.1606937774382223	0.1889006781871418	0.05866372979242589
G2-318	0.10912719398326998	0.08886106965394241	0.12540195616370098	0.0346193511520966	0.03403283008033307	0.024648649763885436	0.033946002780794376	0.03685387670763179	0.04005378609215181	0.03040966647366918	0.032895477743633675	0.08802169543303137	0.03875917659707223	0.04804739952270228	0.02318814348230317	0.054808088033653744	0.007528637483462634	0.0	0.036256822450967716	0.01806880802037019	0.01260220585603525	0.005972809354458082	0.0063124820922971355	0.09063744949835097	0.1892699257616224	0.13358351496802653	0.20171982266648772	0.15316807497496363	0.18142476307483207	0.05124834912404563
G2-319	0.14515969545131802	0.12483142706043757	0.16165877861466857	0.002196394871734214	0.002346981217854083	0.011687397381551902	0.0026290716063460643	0.0007113876269068617	0.003948590936360561	0.005887150958565692	0.0034767738569611425	0.1237885704178618	0.002630984624488722	0.08423123847978142	0.013349315996135386	0.09102200756439079	0.028891229133536433	0.036256822450967716	0.0	0.018188014923085007	0.0237118279074842	0.03035860245722842	0.041839100723836536	0.12627594990469126	0.22508791262851777	0.1692593092993005	0.23755129330831257	0.1889897392350215	0.21728442706423698	0.08750517157501331
G2-320	0.12697168052823302	0.10668070606228622	0.14347076369158357	0.016550543624213893	0.016075904327251384	0.006700304594849875	0.015990302825433587	0.01886210862505818	0.02209931193451188	0.012415446795653831	0.014941003585993744	0.10563784941971048	0.02077546910523723	0.06604322355669642	0.005175722649580591	0.07283399264130577	0.010703215700434726	0.01806880802037019	0.018188014923085007	0.0	0.00556110690933288	0.012170587534143419	0.02368837972568522	0.10808793498160627	0.20689989770543277	0.1510712943762155	0.2193632783852276	0.17080172431193646	0.19909641214115198	0.06931715665192834
G2-321	0.12150507790897319	0.10117680951809273	0.13800416107232372	0.02207435660861309	0.021637011236584267	0.012261411504182758	0.021513269491340213	0.024366005169251675	0.02764134872213164	0.01793841346156046	0.020444900130187245	0.10013395287551695	0.02627936564943072	0.06053848069401034	0.010699535633979792	0.06736739002204595	0.005236613536099779	0.01260220585603525	0.0237118279074842	0.00556110690933288	0.0	0.0067039849148836	0.018127272816352336	0.10256412199720705	0.2013760847210335	0.1455474813918163	0.21383946540082835	0.16527791132753722	0.19357259915675276	0.06379334366752915
G2-322	0.11480109299408957	0.09469658815281122	0.13130017615744013	0.028721131158357307	0.028060022236726385	0.018684422504324873	0.027974420734908596	0.030958108309334237	0.034083429843986886	0.024511446479929887	0.026962415420402435	0.09365373151023548	0.03290876271444696	0.053972401255194785	0.01734631018372401	0.06072587641487042	0.0022085105892130754	0.005972809354458082	0.03035860245722842	0.012170587534143419	0.0067039849148836	0.0	0.011704261816210215	0.09602922922226388	0.19472931017128933	0.13890070684207212	0.20719269085108416	0.15863113677779303	0.18692582460700852	0.057146569284729845
G2-323	0.10566326962694558	0.08533080903850189	0.12216328015921675	0.04004196443592095	0.03975593773682617	0.03038404747593284	0.039637760200931176	0.04249235061668357	0.04576862153848396	0.036063831540071895	0.038551248086985554	0.08423211109258333	0.04430401902995179	0.04647721463626537	0.028640644652548702	0.05251887136555534	0.013841119575759772	0.0063124820922971355	0.041839100723836536	0.02368837972568522	0.018127272816352336	0.011704261816210215	0.0	0.08560249839736105	0.18375639633951646	0.12921932870793051	0.19644223877480102	0.14805117650394353	0.1759167433372547	0.047459627437900144
G2-324	0.022643304607990866	0.004926688067479416	0.037284131585279254	0.1246356964990588	0.12408090514287982	0.11470901488198651	0.12396272760698489	0.12681731802273724	0.13009358894453762	0.12038879894612557	0.12287621549303922	0.005526711997800002	0.12866628036093913	0.042893256052575546	0.11325809341766414	0.036144957799190275	0.09816608698181346	0.09063744949835097	0.12627594990469126	0.10808793498160627	0.10256412199720705	0.09602922922226388	0.08560249839736105	0.0	0.0988119627238265	0.04392652477614268	0.111275343562219	0.0627703590570709	0.0910084771595457	0.06774233824528078
G2-325	0.08077973937318943	0.10282562427394062	0.06609781210465046	0.22344765922288526	0.22274093141066367	0.21340051524696582	0.22262940839983955	0.22562682915112192	0.22879121829812138	0.21920076166995206	0.22161113877155658	0.1041964821776579	0.22743043696530432	0.14155090969027428	0.21201366943798325	0.1347653175119553	0.1967956282248812	0.1892699257616224	0.22508791262851777	0.20689989770543277	0.2013760847210335	0.19472931017128933	0.18375639633951646	0.0988119627238265	0.0	0.055838423796436554	0.018730968900048082	0.05017479618290596	0.010961101035469519	0.14517099138224038
