	G1-11	G1-110	G1-115	G1-116	G1-12	G1-130	G1-131	G1-132	G1-15	G1-157	G1-158	G1-159	G1-161	G1-162	G1-177	G1-178	G1-19	G1-193	G2-194	G2-41	G2-410	G2-411	G2-412	G3-419	G3-42	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46	G3-47	G3-48	G3-49
G1-158	0.06808299748814921	0.06863430324850028	0.015760101933881433	0.09637943412628253	0.15945747329302076	0.29023324597165107	0.21691629130145687	0.29428826220893695	0.10144224921254204	0.1434929239654	0.0	0.05554989650110353	0.17071323491146442	0.174474336078826	0.05672359012151202	0.012125947425764935	0.12540044662852165	0.1353666545527016	0.056072976489667144	0.057027494514685216	0.038678674403429404	0.05172283963395568	0.04433376343483814	0.11371590753432946	0.04865128754877491	0.006933530954376114	0.05302375234237219	0.02125678877131313	0.0730707150251195	0.10440019066030465	0.031614323114185806	0.04634300199799391	0.017521343447247786	0.006633499339794143	0.06877211767084562	0.04485646276396161	0.01750263754679952	0.06623303376155962	0.027890282683846742	0.013345099698147511	0.014499059381075758	0.015506213434414882	0.16987093117244248
G1-159	0.04006903667244412	0.015835829437911036	0.06519857912953664	0.04272626207610776	0.1061871656275441	0.28217129748571423	0.16334091085146946	0.28613682013989516	0.07299352803603697	0.09164014228011849	0.05554989650110353	0.0	0.11690350125278796	0.12223492741484422	0.10807187129826229	0.05007950978853904	0.07188289626964535	0.08226184463317611	0.014126891151010854	0.004257297494842509	0.0366197249007521	0.02002046322418635	0.028918797082220952	0.05976843539452678	0.012696840359846695	0.05980551476559077	0.027061124625325436	0.07471944736819142	0.030039181460217366	0.05292875571018319	0.05920761685777965	0.035661789870177076	0.06944235808204341	0.05761036005858713	0.12086559261861929	0.01217997173227183	0.07041318616159357	0.014097414417088923	0.07941472926157313	0.06571477058735609	0.067385768954399	0.05822484010786342	0.16109350574943845
G1-161	0.1419922742288338	0.10446841783372698	0.17257795624542463	0.08182891316138224	0.01618621675652789	0.2687602042800919	0.1024021311553569	0.27281580776768016	0.1417540602546979	0.02763748803093462	0.17071323491146442	0.11690350125278796	0.0	0.006682486833153602	0.22041546264724943	0.16238375656314014	0.059626591155450666	0.04034652238956735	0.12424008931058399	0.1155586541268461	0.14638043274364554	0.1297731551000915	0.1386682447921845	0.07180051498176385	0.12440060237829734	0.1709085474247911	0.14022004378360486	0.18579570853491922	0.14020176328827022	0.08899114026793571	0.17043537860410862	0.14617685753488793	0.18055986668455304	0.16879196635603533	0.23191222828148267	0.12655392314048705	0.18149751250751864	0.10585168370588416	0.1930071825899257	0.1787636078972087	0.1748962181402611	0.16762809642853374	0.21369870326176496
G1-162	0.14643301222736527	0.10825641152667992	0.1771473390107911	0.0866142103709639	0.02029597038059475	0.26925123519360333	0.10348642108184362	0.27330683869397104	0.1460813386250991	0.031317181352506565	0.174474336078826	0.12223492741484422	0.006682486833153602	0.0	0.22534371486612864	0.16570949945141691	0.06363147419986495	0.04443759386020953	0.12916791565241045	0.12025890291657759	0.1504031995693811	0.13388275825463442	0.14269101161792014	0.07766844252051996	0.12790823316277586	0.1741032821431074	0.1457507655246269	0.18890285473254936	0.14585360573004327	0.0926039569578548	0.17518937996353437	0.15053431248484556	0.18467226325641742	0.17300958095999622	0.23614285060635273	0.13073531616403944	0.1847978258885495	0.10904641842420046	0.19880404476652133	0.18244182775092938	0.17799612957396094	0.17153638225272022	0.21863396300732502
G1-177	0.11457768088657763	0.12284897606025859	0.06278504610044697	0.14543191582180964	0.20683873023791657	0.28841781175003955	0.2664694771046878	0.29238333440422065	0.13427268134346043	0.19527536638123047	0.05672359012151202	0.10807187129826229	0.22041546264724943	0.22534371486612864	0.0	0.05972484107680192	0.17714760920037229	0.18300099589203034	0.10159233782171874	0.1064722794347517	0.0918400543490807	0.1042181861528223	0.09699198880935203	0.16392853946112793	0.09867673392838225	0.05211516630887735	0.10104612406569542	0.03699805087479488	0.11654509659926185	0.1565182591932539	0.07184552391157652	0.09220409117476652	0.04211243283879335	0.05431100017165651	0.017929357273528353	0.09783004015651203	0.04161841589384159	0.11742474800482393	0.034008233474638855	0.04419815182276735	0.05959400465051886	0.0678056201634496	0.17134803151513633
G1-178	0.0571107474249564	0.06323146540573271	0.019027934591503055	0.08704504099268674	0.1480018344219534	0.28473798306283404	0.21003280405633368	0.2887035057170151	0.09437044029631021	0.1355956304279891	0.012125947425764935	0.05007950978853904	0.16238375656314014	0.16570949945141691	0.05972484107680192	0.0	0.11874272164526062	0.12391101380942979	0.04472460817874495	0.04859950590274554	0.03334016713108191	0.04497194652708618	0.038125794830447854	0.10725194467769147	0.039092337707931205	0.012453304815378465	0.04602270222797361	0.026859991084668102	0.06693575102439057	0.09851309751741699	0.025937760032191143	0.03473716065244248	0.02148910008412735	0.010252642413470632	0.07227273342795483	0.038480267896763946	0.02172053616710248	0.057728057196448995	0.03613625397262434	0.01800607193495878	0.019546093578375764	0.01293807121634696	0.1643321604808814
G1-19	0.10080789808754331	0.0574410459478413	0.13376072469773	0.04491601614383572	0.04864779586690804	0.2796024269197018	0.1033643992434135	0.2835679495738828	0.09935181307727287	0.033750207290330625	0.12540044662852165	0.07188289626964535	0.059626591155450666	0.06363147419986495	0.17714760920037229	0.11874272164526062	0.0	0.024577967579181324	0.08289279446892409	0.07285798688871097	0.10135879042068484	0.08733366942284164	0.09524515297673444	0.01902324010232588	0.08140833717621006	0.1281189198762487	0.09517374277972916	0.14282468060393808	0.0972069246678318	0.03478872287473999	0.1286639910834375	0.1048871742231043	0.13795355078541818	0.12628450195573077	0.18936940677247027	0.08184497970638652	0.13862490354750281	0.06277343694838691	0.1493890604624126	0.13504603141185992	0.1350067421188681	0.1263300735353031	0.1738203141453955
G1-193	0.10389719528771961	0.06897355201988592	0.1404019452518603	0.04971255920771401	0.025325105217503818	0.270130035757795	0.10701192191735154	0.2741547894877858	0.10470891970025395	0.01540653769405375	0.1353666545527016	0.08226184463317611	0.04034652238956735	0.04443759386020953	0.18300099589203034	0.12391101380942979	0.024577967579181324	0.0	0.08563387788132965	0.08057145177305876	0.11431800442007224	0.09781072291878179	0.10660581666669426	0.03755497896884511	0.08722190399835986	0.13415653375338016	0.10555866846588703	0.14882837684946185	0.10578973935799563	0.05359678923563657	0.1319613013155193	0.10683242326057713	0.14198099449557072	0.13068094000676594	0.19382185213683292	0.09116535316957841	0.14314203581055102	0.06936805037840489	0.15860137708112626	0.14107160642946864	0.14209382296511883	0.13571395322138058	0.1801821636379573
G2-194	0.03341512653698643	0.028486988741659558	0.05966148988913679	0.04907045588030523	0.11006282268871707	0.2754647153408881	0.16871340492332126	0.27950635923193506	0.07146435844981572	0.0998261596179455	0.056072976489667144	0.014126891151010854	0.12424008931058399	0.12916791565241045	0.10159233782171874	0.04472460817874495	0.08289279446892409	0.08563387788132965	0.0	0.012704263372694632	0.03502432400560007	0.01765024504617299	0.027082983091371266	0.06957677850954987	0.009360888963299353	0.054857218582347295	0.022048030386047746	0.06953469173211431	0.03514333733706268	0.06314067364945146	0.04763372400510416	0.023731420395913146	0.06255961262247492	0.05092699007392729	0.11417254844889607	0.011826928314991514	0.0638483506932035	0.022454819525916273	0.07502872728304376	0.06163102997670359	0.0626532485698616	0.0564202728069084	0.15389963164798387
G2-41	0.037636463461002904	0.017250131994808585	0.0641355092847772	0.04070603705909212	0.10440918574194814	0.27891953024977023	0.16291517522755958	0.2828850529039513	0.06931710007717347	0.0899851031833585	0.057027494514685216	0.004257297494842509	0.1155586541268461	0.12025890291657759	0.1064722794347517	0.04859950590274554	0.07285798688871097	0.08057145177305876	0.012704263372694632	0.0	0.03797169936210311	0.02131398674645137	0.03019916135333004	0.0606860004270279	0.011332618910937049	0.05892471235969151	0.0277359522183924	0.07367924451965031	0.02861765291115556	0.05257740109756191	0.058231344094093196	0.033818935814690226	0.06857339398739166	0.05665774573073228	0.11956262420801948	0.012771970591459321	0.06919780627168	0.012407021601700008	0.07973043253811325	0.06525844515765135	0.0658137768342423	0.05845862801156219	0.15787831813985861
G2-410	0.05215200277548785	0.04770907593207504	0.03690126223828026	0.06609729631847244	0.13843613566575347	0.2932891053215732	0.19164830752054776	0.29734412154607964	0.09361192323287033	0.12353527106443205	0.038678674403429404	0.0366197249007521	0.14638043274364554	0.1504031995693811	0.0918400543490807	0.03334016713108191	0.10135879042068484	0.11431800442007224	0.03502432400560007	0.03797169936210311	0.0	0.017560517144855077	0.008411050361796998	0.08820620268537534	0.02916529935064617	0.040976556204343914	0.03339277577701706	0.05540450008060623	0.05671836091549848	0.0788168603988504	0.04248923009244611	0.032692124787174405	0.05150161780146444	0.03989847853443177	0.10261741308632785	0.02632368765261844	0.05174042943390866	0.046884659982492416	0.06470437198434421	0.049462685787613044	0.03641936170852214	0.026972645631761747	0.16555754352982666
G2-411	0.047477830398309405	0.032504394204883866	0.04866649301599366	0.049590014254881715	0.12192885416446309	0.289570173251229	0.17858570173002217	0.29353569589263034	0.08421250775643813	0.10740475588265898	0.05172283963395568	0.02002046322418635	0.1297731551000915	0.13388275825463442	0.1042181861528223	0.04497194652708618	0.08733366942284164	0.09781072291878179	0.01765024504617299	0.02131398674645137	0.017560517144855077	0.0	0.00967107163361133	0.07551794739596734	0.012837884013985383	0.053043817407992494	0.029489234606600672	0.06788593808863755	0.04336981569003714	0.0669930838614998	0.05419983211225027	0.030231111311542727	0.06331444973518117	0.05173054413115118	0.11516285199995867	0.009839896418252189	0.06369396610107697	0.030532003526401414	0.0763951447591799	0.0611075645322223	0.048876350679627645	0.03962290949217518	0.16083903263848218
G2-412	0.049521765419228925	0.0403507281358101	0.041432793261295744	0.058385108367011426	0.1307239479123755	0.29121254196107704	0.18565765066337267	0.295178064615258	0.08888660587617425	0.11609512661330186	0.04433376343483814	0.028918797082220952	0.1386682447921845	0.14269101161792014	0.09699198880935203	0.038125794830447854	0.09524515297673444	0.10660581666669426	0.027082983091371266	0.03019916135333004	0.008411050361796998	0.00967107163361133	0.0	0.08246890868026374	0.021529793800046014	0.04585003819822392	0.030765141490577852	0.06046215261611454	0.05031113393050362	0.07363696773153562	0.04736271240581493	0.03013846459768319	0.056386360056069874	0.04491746141289575	0.1078784985497401	0.018622760006611262	0.0567275461426892	0.03912325997017541	0.06987760315324239	0.054347427703560304	0.041283282829804174	0.03188242438010489	0.16320287881209844
G3-419	0.08679469029005202	0.04618213126059727	0.12044324631637307	0.03120720961307386	0.061387083261045916	0.2791915200823513	0.10965540278796657	0.2831626727902178	0.08512479670405565	0.048198597995173585	0.11371590753432946	0.05976843539452678	0.07180051498176385	0.07766844252051996	0.16392853946112793	0.10725194467769147	0.01902324010232588	0.03755497896884511	0.06957677850954987	0.0606860004270279	0.08820620268537534	0.07551794739596734	0.08246890868026374	0.0	0.07012992033268019	0.11535325843750188	0.08082590336412271	0.12990572722555033	0.08242862974309116	0.02085145549278398	0.1145516872667396	0.09091900671452091	0.12488883357594689	0.11320385140317374	0.1753492648427647	0.07057553609400956	0.12568130091452168	0.05151451973079119	0.13642256499485528	0.12334029982048611	0.12244400342418722	0.11335416511689841	0.16011541342561306
G3-42	0.03988655106486858	0.02516844337556846	0.05640668511859609	0.04957041234555524	0.11131272461088348	0.28217403058016816	0.17306343957003303	0.2861395532343491	0.07579605198316293	0.09716472372080398	0.04865128754877491	0.012696840359846695	0.12440060237829734	0.12790823316277586	0.09867673392838225	0.039092337707931205	0.08140833717621006	0.08722190399835986	0.009360888963299353	0.011332618910937049	0.02916529935064617	0.012837884013985383	0.021529793800046014	0.07012992033268019	0.0	0.04933693564972173	0.0264902311124193	0.06371565904328204	0.03702927208228779	0.06121249906236972	0.04977518229948514	0.025131419812645533	0.05904798124497401	0.0473461130776322	0.11081061140930436	0.005335104758315227	0.0591962250283943	0.01933661840759519	0.07321634238034691	0.05551347382845749	0.05698932493093015	0.05016689119065066	0.16155786582318735
G3-420	0.06695482941780952	0.07260076260974178	0.013206190398615135	0.09567096047302251	0.15833477711896593	0.28674938837373254	0.21827005933424143	0.290720541081599	0.09954676642975527	0.1448075808369836	0.006933530954376114	0.05980551476559077	0.1709085474247911	0.1741032821431074	0.05211516630887735	0.012453304815378465	0.1281189198762487	0.13415653375338016	0.054857218582347295	0.05892471235969151	0.040976556204343914	0.053043817407992494	0.04585003819822392	0.11535325843750188	0.04933693564972173	0.0	0.054857278415212755	0.015346392281379915	0.0740790170561039	0.10670141501107656	0.02730480198917329	0.04534936617027412	0.011145413334436294	0.004456053631130564	0.06277572781564536	0.048416233664676275	0.011385956306289743	0.06727564877088847	0.02623322096662016	0.009173706444817834	0.010201745206456628	0.017818111708813943	0.16638977599876445
G3-421	0.02865456661445669	0.040837182904217346	0.059088837265911846	0.06579573952803316	0.12923581083770735	0.26932777530451557	0.172698844897054	0.2732932979586965	0.07437376667582848	0.11609140233866685	0.05302375234237219	0.027061124625325436	0.14022004378360486	0.1457507655246269	0.10104612406569542	0.04602270222797361	0.09517374277972916	0.10555866846588703	0.022048030386047746	0.0277359522183924	0.03339277577701706	0.029489234606600672	0.030765141490577852	0.08082590336412271	0.0264902311124193	0.054857278415212755	0.0	0.06931960165021757	0.04415961800846434	0.07415829389894216	0.04162981064211736	0.019954669169013475	0.06396054391422062	0.05207140482253724	0.11510815917210936	0.024278372192285038	0.06476217745312975	0.0392439235570397	0.07180579557821812	0.06256322258003216	0.061249864364795646	0.05229620401797961	0.14302554285522528
G3-422	0.08154471404689029	0.08724161521011946	0.027997244249654225	0.11063217000583829	0.1729191974619854	0.28844331473856816	0.2329814751349167	0.2924088373927492	0.10686896652748601	0.15944843343736126	0.02125678877131313	0.07471944736819142	0.18579570853491922	0.18890285473254936	0.03699805087479488	0.026859991084668102	0.14282468060393808	0.14882837684946185	0.06953469173211431	0.07367924451965031	0.05540450008060623	0.06788593808863755	0.06046215261611454	0.12990572722555033	0.06371565904328204	0.015346392281379915	0.06931960165021757	0.0	0.08602782005944495	0.12103030288169891	0.03997461387657054	0.05983658278264847	0.007476155186975877	0.019030858444702335	0.047751664006201774	0.063179705876708	0.006109191835610376	0.08202980555581957	0.011862920306711353	0.010656869090908386	0.024368622094611034	0.03215846706439001	0.16797522896992684
