	G2-1100	G2-1101	G2-1102	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-199	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324
G2-1113	0.06305521046004493	0.2791302538539395	0.005381530572732299	0.3017184268105564	0.06405896301912553	0.42328858081243476	0.0	0.0	0.006263778793156822	0.003565969127212497	0.0	0.06055988618722048	0.024161383414085615	0.24753665737859445	0.06055988618722048	0.1163584777394369	0.17515435449000635	0.13542582890323318	0.06174068507488071	0.06174068507488071	0.006263778793156822	0.13678321341027527	0.22595345988969107	0.06478457485713111
G2-199	0.0028108692907094102	0.2428385014508802	0.05517835561448819	0.27477333647798324	0.015006935703968959	0.4051027534997036	0.06055988618722048	0.06055988618722048	0.0667899562633011	0.06410666494255347	0.06055988618722048	0.0	0.07301797149564379	0.2852096813316179	0.0	0.06248472333473023	0.22450836683633235	0.19267962502529723	0.012289727609240797	0.012289727609240797	0.0667899562633011	0.09510185898406066	0.2721082325080811	0.12131527164543265
G2-313	0.07543383546582072	0.2855694133453806	0.018881464017219927	0.3143171869407304	0.08155956529966316	0.43187736829357787	0.024161383414085615	0.024161383414085615	0.030273820646199955	0.027641193793972736	0.024161383414085615	0.07301797149564379	0.0	0.2543219562674323	0.07301797149564379	0.12712788260181362	0.19170666809711562	0.15543157784051265	0.08441032812462382	0.08441032812462382	0.030273820646199955	0.1560087614100901	0.23695602610547903	0.08130332058867654
G2-314	0.28664697841215364	0.41889867935190606	0.24346534299257747	0.369349097890943	0.2948081237009656	0.5197525655746021	0.24753665737859445	0.24753665737859445	0.2522499213067343	0.2502199184277415	0.24753665737859445	0.2852096813316179	0.2543219562674323	0.0	0.2852096813316179	0.25239755693404564	0.35157833128474614	0.3423913023691547	0.2939942596457747	0.2939942596457747	0.2522499213067343	0.33078129529949907	0.2831688762301103	0.2854172429777501
G2-315	0.0028108692907094102	0.2428385014508802	0.05517835561448819	0.27477333647798324	0.015006935703968959	0.4051027534997036	0.06055988618722048	0.06055988618722048	0.0667899562633011	0.06410666494255347	0.06055988618722048	0.0	0.07301797149564379	0.2852096813316179	0.0	0.06248472333473023	0.22450836683633235	0.19267962502529723	0.012289727609240797	0.012289727609240797	0.0667899562633011	0.09510185898406066	0.2721082325080811	0.12131527164543265
G2-316	0.0649627477181452	0.2762409585276134	0.11128208677734025	0.3090370479507047	0.07626906594590609	0.42855357347326073	0.1163584777394369	0.1163584777394369	0.11747033883692778	0.11970414963979878	0.1163584777394369	0.06248472333473023	0.12712788260181362	0.25239755693404564	0.06248472333473023	0.0	0.25970225520082985	0.23473300840182543	0.06888302325664097	0.06888302325664097	0.11747033883692778	0.14283242660160944	0.30661126421292245	0.17063967594655452
G2-317	0.2262143865336263	0.37746693093827277	0.1788291125375156	0.3758555278700347	0.22741196055396498	0.49003737045048323	0.17515435449000635	0.17515435449000635	0.17626569012099125	0.17810368532985846	0.17515435449000635	0.22450836683633235	0.19170666809711562	0.35157833128474614	0.22450836683633235	0.25970225520082985	0.0	0.27798332384518815	0.22225196911029893	0.22225196911029893	0.17626569012099125	0.2745304326347378	0.26303757577771797	0.12811647582150484
G2-318	0.1947318715623498	0.37125227193759025	0.13987813952641187	0.3935481436354772	0.19603441178359726	0.49601295048795857	0.13542582890323318	0.13542582890323318	0.13660898520118897	0.13883739474160314	0.13542582890323318	0.19267962502529723	0.15543157784051265	0.3423913023691547	0.19267962502529723	0.23473300840182543	0.27798332384518815	0.0	0.18982113120989083	0.18982113120989083	0.13660898520118897	0.2521780077620666	0.3245068315759232	0.1895893843295643
G2-319	0.015066052134235033	0.2483930397608984	0.0667899562633011	0.2718146223310071	0.00851429197604438	0.4070271700358255	0.06174068507488071	0.06174068507488071	0.055826591702926906	0.058382907593704264	0.06174068507488071	0.012289727609240797	0.08441032812462382	0.2939942596457747	0.012289727609240797	0.06888302325664097	0.22225196911029893	0.18982113120989083	0.0	0.0	0.055826591702926906	0.08479729361924981	0.26911993359371617	0.11642795727718275
G2-320	0.015066052134235033	0.2483930397608984	0.0667899562633011	0.2718146223310071	0.00851429197604438	0.4070271700358255	0.06174068507488071	0.06174068507488071	0.055826591702926906	0.058382907593704264	0.06174068507488071	0.012289727609240797	0.08441032812462382	0.2939942596457747	0.012289727609240797	0.06888302325664097	0.22225196911029893	0.18982113120989083	0.0	0.0	0.055826591702926906	0.08479729361924981	0.26911993359371617	0.11642795727718275
