	G1-11	G1-110	G1-12	G1-13	G1-130	G1-135	G1-136	G1-138	G1-14	G1-157	G1-158	G1-159	G1-19	G1-193	G2-194	G2-41	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-42	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46
G1-158	0.09611921215285797	0.35873981108054714	0.09144220547839377	0.27205283341651587	0.16356473894826423	0.2704323057580689	0.2510474642407019	0.16356473894826423	0.2704323057580689	0.09555806501682955	0.0	0.42909024827033404	0.6376153381297496	0.05427903777208249	0.20894843187284315	0.1580089179440097	0.10083654221498665	0.11244656785832843	0.300898575025477	0.14678886260412918	0.1408997222184502	0.14609978432699747	0.1848227848262511	0.32782983649952524	0.14184655762263906	0.3506732821045572	0.14184655762263906	0.10236031293638168	0.2521142991394778	0.14184655762263906	0.09711569991827317	0.3637763543204859	0.23242718142737848
G1-159	0.43700888502175167	0.3719164781094105	0.4351979532909279	0.5156010462704176	0.46984414024765103	0.5148840122245961	0.5012678959125956	0.46984414024765103	0.5148840122245961	0.48587396018082113	0.42909024827033404	0.0	0.638534551155589	0.447919286281515	0.35177882836345736	0.4616557339793122	0.43884260363052124	0.44338660410670766	0.5238761794897421	0.4570909718979356	0.45546906113534846	0.4568120503218866	0.4229871172792041	0.3755957661644326	0.45509407025495363	0.48582721490005176	0.45509407025495363	0.46532113852470125	0.490158917981439	0.45509407025495363	0.43739563771823947	0.45817147521700347	0.36556020051313404
G1-19	0.6408220569861403	0.6821042802438508	0.6400858280504574	0.6494359136777893	0.6382895140088207	0.6490835080864148	0.6395640357049406	0.6382895140088207	0.6490835080864148	0.6736587691240117	0.6376153381297496	0.638534551155589	0.0	0.6452941885291167	0.586119432372818	0.6312263145196421	0.6415692990654737	0.6230891385430049	0.5454037454420853	0.6291754811679418	0.6288801867798532	0.6290505533644516	0.6362581237323276	0.5830710460694463	0.6282820500669456	0.6420569486925496	0.6282820500669456	0.6328817251887155	0.6339834690470398	0.6282820500669456	0.640979512402804	0.591374521896095	0.576492820837657
G1-193	0.04212225954124449	0.38239902686779725	0.04726998564371751	0.23099275459342591	0.11204529460279325	0.22549526882291052	0.20630577360463354	0.11204529460279325	0.22549526882291052	0.14465030296843642	0.05427903777208249	0.447919286281515	0.6452941885291167	0.0	0.16169178629324027	0.19833256713733655	0.04712139827907786	0.14824768901533017	0.25913494090180905	0.09581886526255845	0.09872046193982915	0.09508862212433418	0.2226767838213666	0.2876750495481141	0.0905813118241194	0.31188314021077457	0.0905813118241194	0.050840868590910714	0.2840992820392132	0.0905813118241194	0.1433226679043257	0.3318134536564882	0.26608036754558745
G2-194	0.13774897619506615	0.42590287870436055	0.14238279522503855	0.29571275195518276	0.19701336621742682	0.29093848328892147	0.2731034384448284	0.19701336621742682	0.29093848328892147	0.2876278452385851	0.20894843187284315	0.35177882836345736	0.586119432372818	0.16169178629324027	0.0	0.2578676463272384	0.1418019033672899	0.21522698645743543	0.3176641614046062	0.1678637409594509	0.18457859251915704	0.1809059995677097	0.29035901958980215	0.16673984665980413	0.1772147980882589	0.2689520284483961	0.1772147980882589	0.1990437531063685	0.3419056068692771	0.1772147980882589	0.2248048571011594	0.23559337951018883	0.1332686137442806
G2-41	0.17512008532611914	0.3995387854836109	0.1712266696626312	0.2541205111405937	0.14729052372702403	0.25251676860953187	0.23386638429874346	0.14729052372702403	0.25251676860953187	0.2417548670888861	0.1580089179440097	0.4616557339793122	0.6312263145196421	0.19833256713733655	0.2578676463272384	0.0	0.17905063743892205	0.0820116081484704	0.2832386549730037	0.11643412226801024	0.12550918913683126	0.13065388097583494	0.15192589029728606	0.31000454767217783	0.12649161423842306	0.39247169546828387	0.12649161423842306	0.15107252250851086	0.2569896788098689	0.12649161423842306	0.0698454656851465	0.2650575970908242	0.290158438961547
G2-413	0.005417990597889559	0.371017876585515	0.010734126355036245	0.1977950579858404	0.08902779819259636	0.2000814980612841	0.17232890989652233	0.08902779819259636	0.2000814980612841	0.19026895879679032	0.10083654221498665	0.43884260363052124	0.6415692990654737	0.04712139827907786	0.1418019033672899	0.17905063743892205	0.0	0.10758602237473547	0.236405878670745	0.07263712115326933	0.06568569342389972	0.05215876183835863	0.20456137247481043	0.2733651919130933	0.0572941567550104	0.29203839711042695	0.0572941567550104	0.09508862212433418	0.2687618906938625	0.0572941567550104	0.12126731870606967	0.31916846088802825	0.24995249206211548
G2-414	0.11267798912326815	0.37672110474977455	0.11767423007588643	0.1999612062193229	0.09242559654129304	0.20223074400451996	0.17468331420156905	0.09242559654129304	0.20223074400451996	0.2007242303841582	0.11244656785832843	0.44338660410670766	0.6230891385430049	0.14824768901533017	0.21522698645743543	0.0820116081484704	0.10758602237473547	0.0	0.23815138384311363	0.05990646452334119	0.06928088746788387	0.05586834822578794	0.12682729331891332	0.27479303632317753	0.06096031497432063	0.35724186055806023	0.06096031497432063	0.0983193801466492	0.22320039598084698	0.06096031497432063	0.13235898701997212	0.3232984848348833	0.25804837804978015
G2-415	0.23321630163821544	0.47592753758826184	0.23731483368315834	0.27601330216541164	0.21660279545003	0.2714130509148308	0.25457710512836923	0.21660279545003	0.2714130509148308	0.3704324615840686	0.300898575025477	0.5238761794897421	0.5454037454420853	0.25913494090180905	0.3176641614046062	0.2832386549730037	0.236405878670745	0.23815138384311363	0.0	0.19843117826391657	0.19761665512816712	0.19415714943991022	0.3017031830994425	0.34873899602923913	0.19079109700946423	0.39646116499204376	0.19079109700946423	0.21792138626557908	0.36667437498534616	0.19079109700946423	0.31331192888325116	0.36712645478565553	0.3944941298782609
G2-416	0.06790279199925242	0.3938542759711698	0.07291197106773113	0.16919868492447665	0.03767433019568666	0.16330571986693587	0.14397611426511495	0.03767433019568666	0.16330571986693587	0.23165077865640074	0.14678886260412918	0.4570909718979356	0.6291754811679418	0.09581886526255845	0.1678637409594509	0.11643412226801024	0.07263712115326933	0.05990646452334119	0.19843117826391657	0.0	0.02439331050979907	0.02104888628431223	0.1583017690343602	0.23344037927047276	0.0160511913110293	0.3252891789148139	0.0160511913110293	0.04552020676878397	0.2486171211405617	0.0160511913110293	0.16520613078375362	0.2846849348230189	0.2822005933363791
