	G1-115	G1-116	G1-13	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-161	G1-162	G1-177	G1-178	G2-410	G2-411	G2-412	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-47	G3-48	G3-49
G1-162	0.34063490896060616	0.12320286811550676	0.2506167902811656	0.12196050767939223	0.14799357247689207	0.2550702910630004	0.19822409687424566	0.14840459895928612	0.14799357247689207	0.16858451255781595	0.32148903471806245	0.0	0.43869320908970255	0.12730184481386275	0.2134657807430784	0.00936019464499629	0.06299750370828593	0.1106315646551591	0.12392839268914967	0.1238103682167279	0.13149254482043948	0.12054765640152762	0.10620491065865623	0.3248995879824811	0.3135731308955299	0.4614964738558121	0.09870959113378151	0.4430300521970256	0.2382463590307322	0.3477133979466862	0.19646497875993713	0.5954474525583634
G1-177	0.5149039578596473	0.40656456599673907	0.3490614516038405	0.4185051878497923	0.4368213153835708	0.3469987321883897	0.45666121025591766	0.43504322985099114	0.4368213153835708	0.3809070615412792	0.2706708545697898	0.43869320908970255	0.0	0.3609086056549015	0.5265278340944667	0.43328244171452485	0.40019217890632425	0.4952987598710595	0.4169112639501651	0.42124141955401273	0.4141319913418828	0.42060333349916795	0.4179816640007338	0.3905635722981977	0.3890158567176954	0.4202978910993954	0.3815469383363517	0.43306420025098763	0.27794211969664917	0.26256743304423863	0.42398695460681707	0.4638909646122876
G1-178	0.34388376815688315	0.13925488682741874	0.24409050313966588	0.10667165279810126	0.13626780749859674	0.24086164981670474	0.19366267216800254	0.1320784172578851	0.13626780749859674	0.04811306355236949	0.32564157449288755	0.12730184481386275	0.3609086056549015	0.0	0.30530173775530844	0.13458213150976805	0.08356385563818496	0.2159785248131024	0.1223626742390249	0.11311318080289544	0.11599321044077565	0.10990922614876239	0.10543548695165283	0.3068600703332459	0.29559066222286484	0.4436809484236981	0.08396741299568845	0.36590265254984855	0.14159118188130995	0.28029099553722003	0.10443712739952628	0.5536316236457525
G2-410	0.4576467380023455	0.2992752978191039	0.36245840230148596	0.30154592605361075	0.28416053680993675	0.36653500991947424	0.35446861789366174	0.284840670585643	0.28416053680993675	0.334510996952294	0.44333077523332226	0.2134657807430784	0.5265278340944667	0.30530173775530844	0.0	0.20523131479568077	0.2433361240784599	0.152613750667064	0.28889302349912704	0.30238884325292864	0.295631965839312	0.30069519815077983	0.2890953179016885	0.4480950614450603	0.32642136337132055	0.5513969452565016	0.28525874808845547	0.5058085813635828	0.3636522763521674	0.4629582136896043	0.23068381320949913	0.6554412283824276
G2-411	0.34471738553609355	0.1304070428781645	0.2561080737692505	0.1293298086204502	0.1551266693601264	0.26052887715404044	0.20432068302130804	0.15555195718767717	0.1551266693601264	0.17519491660011774	0.32581126070723293	0.00936019464499629	0.43328244171452485	0.13458213150976805	0.20523131479568077	0.0	0.054144108457330045	0.11888770714963028	0.115556276408324	0.13112775325434484	0.12312048896848171	0.12794713376339675	0.1137745956286461	0.3292645273400615	0.31808527446771556	0.46427738490588255	0.10647261963919467	0.4460044333345155	0.2309006405622515	0.351708957284289	0.20316828770110618	0.5969879538725099
G2-412	0.3068522905062085	0.08015815989638404	0.21129432654386557	0.07800189682859045	0.10392588603607213	0.21571564970069393	0.1578183149910173	0.1042240453958174	0.10392588603607213	0.12657085322297673	0.2868536871646482	0.06299750370828593	0.40019217890632425	0.08356385563818496	0.2433361240784599	0.054144108457330045	0.0	0.16622316446458235	0.06435549308426972	0.08005383794976076	0.07192007520515352	0.0764918368053769	0.061980387795826986	0.28972320444050126	0.2778849101641749	0.43269536521035773	0.05379722657204186	0.4133451831839708	0.18597692867765117	0.31424786582410996	0.15215001851714346	0.5737001550128369
G2-413	0.41191723148357035	0.21940531481183098	0.2851322479221026	0.2022231726260553	0.1752964640931674	0.2857137296746987	0.2751021856185463	0.18049580258499467	0.1752964640931674	0.2529819965180086	0.39493768676855484	0.1106315646551591	0.4952987598710595	0.2159785248131024	0.152613750667064	0.11888770714963028	0.16622316446458235	0.0	0.20793030707774166	0.1991779766002848	0.21090614002189953	0.20551108760070194	0.19190623683935415	0.39316986907738977	0.3766738058766946	0.5157721687269664	0.19035492904393378	0.49919230199872267	0.3112726692319529	0.4181961707733931	0.13271918224697596	0.6384149831109998
G2-414	0.2834647374776966	0.050816564795526285	0.1563344308947928	0.018592614469099537	0.03996987360467895	0.16479909088818856	0.10027864209983531	0.045013884820375445	0.03996987360467895	0.0797478942315796	0.26290746862809317	0.12392839268914967	0.4169112639501651	0.1223626742390249	0.28889302349912704	0.115556276408324	0.06435549308426972	0.20793030707774166	0.0	0.016017499247695077	0.012613415095909486	0.02186917574696628	0.088534094036785	0.25198859713584987	0.2957969210998944	0.40279558666249987	0.09510061818897735	0.3823920870793149	0.21647728164172717	0.2910685503242809	0.2051630123463819	0.5583881222813966
G2-415	0.2840719790847558	0.05027973834510204	0.15639965193858366	0.007637409804257396	0.029253297925573404	0.15259624337106517	0.10004219458620157	0.0343536141742403	0.029253297925573404	0.07007239588210099	0.263440217944506	0.1238103682167279	0.42124141955401273	0.11311318080289544	0.30238884325292864	0.13112775325434484	0.08005383794976076	0.1991779766002848	0.016017499247695077	0.0	0.013535608593362232	0.010950546514432011	0.08821462004872141	0.2456085726321367	0.28988632829859207	0.39873577622678175	0.08526434546944321	0.37804912216842507	0.229421623203257	0.29170204098035635	0.20550614114241628	0.5594975113511839
G2-416	0.2890273632392145	0.05818691447457763	0.16702183293974684	0.011049998926650303	0.04254088139230352	0.16329399240075138	0.11149885465175396	0.03767433019568666	0.04254088139230352	0.07308501978539078	0.2686297965238636	0.13149254482043948	0.4141319913418828	0.11599321044077565	0.295631965839312	0.12312048896848171	0.07192007520515352	0.21090614002189953	0.012613415095909486	0.013535608593362232	0.0	0.02439331050979907	0.10049822003755525	0.247592408738452	0.29172402622018334	0.39999665957324615	0.08832777213536268	0.37939816276517363	0.22286486078892828	0.296572106333472	0.2123123604456639	0.5618155629143712
G3-417	0.2825652772991521	0.046562626828345555	0.16186321264770798	0.013548142111549845	0.03521901125531454	0.15809778304728303	0.10558581646786289	0.04033230039691045	0.03521901125531454	0.06656626104098907	0.26177268052080277	0.12054765640152762	0.42060333349916795	0.10990922614876239	0.30069519815077983	0.12794713376339675	0.0764918368053769	0.20551108760070194	0.02186917574696628	0.010950546514432011	0.02439331050979907	0.0	0.09408665684304016	0.24379195287273334	0.29486728511400667	0.3980006028174144	0.0817516978400361	0.37718916133614117	0.2273569680527705	0.2902531443929708	0.20300548746199812	0.5595057361329842
G3-418	0.3313200566378323	0.11979653960214669	0.216532761069541	0.09089742333389325	0.11170493016413163	0.22467129658235313	0.1640695941041007	0.11661450707278798	0.11170493016413163	0.14646012116161608	0.2669326290589816	0.10620491065865623	0.4179816640007338	0.10543548695165283	0.2890953179016885	0.1137745956286461	0.061980387795826986	0.19190623683935415	0.088534094036785	0.08821462004872141	0.10049822003755525	0.09408665684304016	0.0	0.3029322046317423	0.28499917541476244	0.4411535300489073	0.07709469124572825	0.4223855897352344	0.2159613673521766	0.2951116039325639	0.1899804074150228	0.5619192074831945
G3-419	0.3943123228566874	0.2637062056053558	0.16001876483430344	0.24118036876309698	0.2645964593397963	0.1567228509772948	0.3020360090136499	0.2617137052946305	0.2645964593397963	0.27284324656211356	0.24618350789216567	0.3248995879824811	0.3905635722981977	0.3068600703332459	0.4480950614450603	0.3292645273400615	0.28972320444050126	0.39316986907738977	0.25198859713584987	0.2456085726321367	0.247592408738452	0.24379195287273334	0.3029322046317423	0.0	0.42407839668827285	0.3569901841982292	0.28996564156702154	0.47581153024799444	0.38346308297706827	0.2722099988796434	0.38016247185613333	0.5295571916335832
G3-420	0.44987161435022555	0.312913781920464	0.3791485052043535	0.2857848815153836	0.3086554859671883	0.379759860739094	0.3422172936753115	0.30598890522084	0.3086554859671883	0.32127840857062046	0.2978479061815842	0.3135731308955299	0.3890158567176954	0.29559066222286484	0.32642136337132055	0.31808527446771556	0.2778849101641749	0.3766738058766946	0.2957969210998944	0.28988632829859207	0.29172402622018334	0.29486728511400667	0.28499917541476244	0.42407839668827285	0.0	0.4158320382111365	0.27813549468763027	0.35970771923023254	0.21037863160629108	0.38626995661130936	0.37021853047454234	0.5468337425132584
G3-421	0.49549138240817375	0.3842996006615348	0.3901076310243987	0.3959261554889142	0.41410047487137897	0.38826916189548555	0.43513330440026377	0.41227213683763736	0.41410047487137897	0.41616401947856146	0.3169858973149063	0.4614964738558121	0.4202978910993954	0.4436809484236981	0.5513969452565016	0.46427738490588255	0.43269536521035773	0.5157721687269664	0.40279558666249987	0.39873577622678175	0.39999665957324615	0.3980006028174144	0.4411535300489073	0.3569901841982292	0.4158320382111365	0.0	0.40694823084017323	0.4693773476803065	0.3868980563297638	0.3376489467098529	0.5012286011236563	0.48236549155524255
G3-422	0.32876563393666336	0.06381565969348792	0.2233475603779994	0.07841036643332919	0.10907887090040992	0.21993866993813027	0.17070819701620918	0.10462089789351024	0.10907887090040992	0.12693743020079495	0.30966084780406666	0.09870959113378151	0.3815469383363517	0.08396741299568845	0.28525874808845547	0.10647261963919467	0.05379722657204186	0.19035492904393378	0.09510061818897735	0.08526434546944321	0.08832777213536268	0.0817516978400361	0.07709469124572825	0.28996564156702154	0.27813549468763027	0.40694823084017323	0.0	0.41351058297528503	0.21128382253153927	0.30353273225299715	0.18426631847376077	0.5680463054367885
G3-423	0.4962642497195722	0.3904021499419931	0.446542042376241	0.3750423607370362	0.39391017861869126	0.4448996399645025	0.4169133246480705	0.3919534486908649	0.39391017861869126	0.33385224319124035	0.3702985521356064	0.4430300521970256	0.43306420025098763	0.36590265254984855	0.5058085813635828	0.4460044333345155	0.4133451831839708	0.49919230199872267	0.3823920870793149	0.37804912216842507	0.37939816276517363	0.37718916133614117	0.4223855897352344	0.47581153024799444	0.35970771923023254	0.4693773476803065	0.41351058297528503	0.0	0.2900431844806193	0.3925045841274691	0.42843742313150807	0.5169025021853847
G3-424	0.4054158018588309	0.24207083131142573	0.316683505532577	0.22831646351616777	0.2381705992019386	0.32051298535897926	0.2845919200925221	0.23870727561441657	0.2381705992019386	0.17372789316411946	0.23395976414231845	0.2382463590307322	0.27794211969664917	0.14159118188130995	0.3636522763521674	0.2309006405622515	0.18597692867765117	0.3112726692319529	0.21647728164172717	0.229421623203257	0.22286486078892828	0.2273569680527705	0.2159613673521766	0.38346308297706827	0.21037863160629108	0.3868980563297638	0.21128382253153927	0.2900431844806193	0.0	0.26735688314258893	0.20587630161258422	0.49524805965329916
G3-47	0.40961411145922144	0.2560575550112039	0.20477209425697948	0.2909708145780265	0.3095651032588244	0.20846396364915856	0.33585292559808316	0.31015684289344203	0.3095651032588244	0.24711038882939929	0.14091432409893961	0.3477133979466862	0.26256743304423863	0.28029099553722003	0.4629582136896043	0.351708957284289	0.31424786582410996	0.4181961707733931	0.2910685503242809	0.29170204098035635	0.296572106333472	0.2902531443929708	0.2951116039325639	0.2722099988796434	0.38626995661130936	0.3376489467098529	0.30353273225299715	0.3925045841274691	0.26735688314258893	0.0	0.3309620107260884	0.3797932626465584
G3-48	0.3929875614544497	0.20367312194130294	0.27878490881927587	0.2041456886277682	0.18327136793597767	0.28311669714631366	0.26917533458306664	0.18375518363160115	0.18327136793597767	0.14680140225639254	0.376110615033504	0.19646497875993713	0.42398695460681707	0.10443712739952628	0.23068381320949913	0.20316828770110618	0.15215001851714346	0.13271918224697596	0.2051630123463819	0.20550614114241628	0.2123123604456639	0.20300548746199812	0.1899804074150228	0.38016247185613333	0.37021853047454234	0.5012286011236563	0.18426631847376077	0.42843742313150807	0.20587630161258422	0.3309620107260884	0.0	0.5850581292885897
G3-49	0.48923520924114405	0.5386018809480649	0.5054360545433728	0.5596485531270187	0.5709019066946077	0.5077302799619589	0.5761901630796573	0.5715642760650118	0.5709019066946077	0.5327297022752537	0.4128133673168025	0.5954474525583634	0.4638909646122876	0.5536316236457525	0.6554412283824276	0.5969879538725099	0.5737001550128369	0.6384149831109998	0.5583881222813966	0.5594975113511839	0.5618155629143712	0.5595057361329842	0.5619192074831945	0.5295571916335832	0.5468337425132584	0.48236549155524255	0.5680463054367885	0.5169025021853847	0.49524805965329916	0.3797932626465584	0.5850581292885897	0.0
