	G1-11	G1-12	G1-130	G1-131	G1-132	G1-15	G1-177	G1-178	G1-193	G2-194	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G3-421	0.3169329073482428	0.5961661341853035	0.886261980830671	0.5405750798722044	0.8926517571884984	0.33354632587859423	0.2913738019169329	0.24792332268370607	0.49456869009584664	0.28498402555910546	0.33610223642172526	0.2440894568690096	0.0	0.2453674121405751	0.2402555910543131	0.32651757188498404	0.2837060702875399	0.2766773162939297	0.2440894568690096	0.22044728434504793	0.37252396166134183	0.27731629392971247
G3-422	0.3060702875399361	0.5814696485623003	0.8958466453674121	0.681150159744409	0.9022364217252397	0.3814696485623003	0.18466453674121405	0.26389776357827477	0.48690095846645365	0.24217252396166133	0.4728434504792332	0.020447284345047924	0.2453674121405751	0.0	0.3156549520766773	0.4645367412140575	0.17955271565495207	0.20766773162939298	0.10159744408945687	0.14696485623003194	0.17891373801916932	0.12971246006389775
G3-423	0.4083067092651757	0.6856230031948882	0.886261980830671	0.6843450479233227	0.8926517571884984	0.35654952076677315	0.32971246006389776	0.3488817891373802	0.5853035143769968	0.35654952076677315	0.402555910543131	0.3137380191693291	0.2402555910543131	0.3156549520766773	0.0	0.3795527156549521	0.31629392971246006	0.3488817891373802	0.31629392971246006	0.31182108626198085	0.3571884984025559	0.31884984025559104
G3-424	0.5099041533546326	0.7201277955271566	0.8702875399361022	0.43322683706070286	0.8651757188498402	0.3878594249201278	0.49584664536741213	0.5047923322683706	0.6236421725239617	0.5111821086261981	0.10095846645367412	0.46517571884984027	0.32651757188498404	0.4645367412140575	0.3795527156549521	0.0	0.48690095846645365	0.5009584664536741	0.4830670926517572	0.4747603833865815	0.5009584664536741	0.4817891373801917
G3-425	0.2549520766773163	0.6383386581469649	0.7763578274760383	0.6146964856230032	0.7916932907348243	0.3488817891373802	0.1878594249201278	0.3092651757188498	0.4485623003194888	0.20383386581469648	0.4926517571884984	0.16293929712460065	0.2837060702875399	0.17955271565495207	0.31629392971246006	0.48690095846645365	0.0	0.10670926517571885	0.08434504792332269	0.09584664536741214	0.22492012779552717	0.07987220447284345
G3-426	0.2012779552715655	0.5859424920127796	0.7731629392971247	0.5936102236421725	0.7884984025559105	0.37252396166134183	0.27539936102236423	0.2702875399361022	0.3546325878594249	0.12971246006389775	0.5099041533546326	0.19808306709265175	0.2766773162939297	0.20766773162939298	0.3488817891373802	0.5009584664536741	0.10670926517571885	0.0	0.13610223642172525	0.11182108626198083	0.31757188498402555	0.16102236421725238
G3-427	0.27284345047923325	0.594888178913738	0.8383386581469648	0.6402555910543131	0.8536741214057508	0.37763578274760384	0.16869009584664538	0.2690095846645367	0.4204472843450479	0.17827476038338658	0.4881789137380192	0.08690095846645367	0.2440894568690096	0.10159744408945687	0.31629392971246006	0.4830670926517572	0.08434504792332269	0.13610223642172525	0.0	0.05878594249201278	0.2012779552715655	0.05559105431309904
G3-428	0.2779552715654952	0.6006389776357828	0.8370607028753994	0.6306709265175718	0.8523961661341853	0.3450479233226837	0.19297124600638976	0.2523961661341853	0.4012779552715655	0.16102236421725238	0.48434504792332267	0.134185303514377	0.22044728434504793	0.14696485623003194	0.31182108626198085	0.4747603833865815	0.09584664536741214	0.11182108626198083	0.05878594249201278	0.0	0.25431309904153354	0.08242811501597444
G3-429	0.42236421725239615	0.7194888178913738	0.8696485623003195	0.802555910543131	0.8766773162939298	0.4575079872204473	0.22939297124600638	0.3853035143769968	0.6	0.3584664536741214	0.5169329073482428	0.16741214057507986	0.37252396166134183	0.17891373801916932	0.3571884984025559	0.5009584664536741	0.22492012779552717	0.31757188498402555	0.2012779552715655	0.25431309904153354	0.0	0.18466453674121405
G3-430	0.321405750798722	0.6415335463258786	0.8376996805111822	0.6728434504792332	0.853035143769968	0.3648562300319489	0.1546325878594249	0.29648562300319486	0.44792332268370605	0.20702875399361023	0.49456869009584664	0.11437699680511182	0.27731629392971247	0.12971246006389775	0.31884984025559104	0.4817891373801917	0.07987220447284345	0.16102236421725238	0.05559105431309904	0.08242811501597444	0.18466453674121405	0.0
